corpus,session,mode,bin,near_frac,obs_frames,enr
mouse-dyad-10m,20250827_141755,fixed,1,0.23181424670913894,0,
mouse-dyad-10m,20250827_141755,fixed,2,0.14110987791342952,0,
mouse-dyad-10m,20250827_141755,fixed,3,0.1453496115427303,0,
mouse-dyad-10m,20250827_141755,fixed,4,0.14661487236403994,0,
mouse-dyad-10m,20250827_141755,matched,1,0.4059579568913849,0,
mouse-dyad-10m,20250827_141755,matched,2,0.25498335183129855,0,
mouse-dyad-10m,20250827_141755,matched,3,0.29615982241953387,0,
mouse-dyad-10m,20250827_141755,matched,4,0.29891231964483905,0,
mouse-dyad-10m,20250827_141755,all,1,1.0,137,2.0
mouse-dyad-10m,20250827_141755,all,2,1.0,206,2.3815028901734103
mouse-dyad-10m,20250827_141755,all,3,1.0,0,
mouse-dyad-10m,20250827_141755,all,4,1.0,0,
mouse-dyad-10m,20250827_145223,fixed,1,0.3291527003929055,0,
mouse-dyad-10m,20250827_145223,fixed,2,0.19780683256010123,0,
mouse-dyad-10m,20250827_145223,fixed,3,0.28932939687895404,0,
mouse-dyad-10m,20250827_145223,fixed,4,0.2962930077691454,0,
mouse-dyad-10m,20250827_145223,matched,1,0.3782325911784945,0,
mouse-dyad-10m,20250827_145223,matched,2,0.22479966258962464,0,
mouse-dyad-10m,20250827_145223,matched,3,0.3267109147816822,0,
mouse-dyad-10m,20250827_145223,matched,4,0.3262597114317425,0,
mouse-dyad-10m,20250827_145223,all,1,1.0,0,
mouse-dyad-10m,20250827_145223,all,2,1.0,275,6.32183908045977
mouse-dyad-10m,20250827_145223,all,3,1.0,2,
mouse-dyad-10m,20250827_145223,all,4,1.0,0,
mouse-dyad-10m,20250827_152238,fixed,1,0.35160172390811745,316,5.3109243697479
mouse-dyad-10m,20250827_152238,fixed,2,0.3820144843826365,427,
mouse-dyad-10m,20250827_152238,fixed,3,0.5976362909317101,814,18.08888888888889
mouse-dyad-10m,20250827_152238,fixed,4,0.3665526280712667,412,24.969696969696972
mouse-dyad-10m,20250827_152238,matched,1,0.2423246101212956,316,9.294117647058822
mouse-dyad-10m,20250827_152238,matched,2,0.2635846625494291,427,
mouse-dyad-10m,20250827_152238,matched,3,0.4703425600924157,814,18.08888888888889
mouse-dyad-10m,20250827_152238,matched,4,0.2797574088061492,412,24.969696969696972
mouse-dyad-10m,20250827_152238,all,1,1.0,667,0.8690553745928339
mouse-dyad-10m,20250827_152238,all,2,1.0,1126,1.9100932994062767
mouse-dyad-10m,20250827_152238,all,3,1.0,906,4.017738359201774
mouse-dyad-10m,20250827_152238,all,4,1.0,564,1.3739342265529844
mouse-dyad-10m,20250827_155244,fixed,1,0.13280607824406282,0,
mouse-dyad-10m,20250827_155244,fixed,2,0.0803083485137957,0,
mouse-dyad-10m,20250827_155244,fixed,3,0.10396996423255504,0,
mouse-dyad-10m,20250827_155244,fixed,4,0.07881992269071844,0,
mouse-dyad-10m,20250827_155244,matched,1,0.36831581987425854,0,
mouse-dyad-10m,20250827_155244,matched,2,0.2434353756609055,0,
mouse-dyad-10m,20250827_155244,matched,3,0.30262368649056937,0,
mouse-dyad-10m,20250827_155244,matched,4,0.34162704936242055,0,
mouse-dyad-10m,20250827_155244,all,1,1.0,102,2.6153846153846154
mouse-dyad-10m,20250827_155244,all,2,1.0,17,
mouse-dyad-10m,20250827_155244,all,3,1.0,102,2.2666666666666666
mouse-dyad-10m,20250827_155244,all,4,1.0,668,2.9106753812636166
mouse-dyad-10m,20250827_162428,fixed,1,0.3325632025592038,117,4.105263157894737
mouse-dyad-10m,20250827_162428,fixed,2,0.13691296041231618,0,
mouse-dyad-10m,20250827_162428,fixed,3,0.10170169280668237,0,
mouse-dyad-10m,20250827_162428,fixed,4,0.08719315783627679,0,
mouse-dyad-10m,20250827_162428,matched,1,0.5358110809970231,144,0.8372093023255814
mouse-dyad-10m,20250827_162428,matched,2,0.28248989203358954,0,
mouse-dyad-10m,20250827_162428,matched,3,0.25496512196205623,0,
mouse-dyad-10m,20250827_162428,matched,4,0.18273908697100966,0,
mouse-dyad-10m,20250827_162428,all,1,1.0,232,0.5510688836104514
mouse-dyad-10m,20250827_162428,all,2,1.0,343,0.8564294631710361
mouse-dyad-10m,20250827_162428,all,3,1.0,468,1.723756906077348
mouse-dyad-10m,20250827_162428,all,4,1.0,1327,4.672535211267606
mouse-dyad-10m,20250827_165542,fixed,1,0.22931153222402417,0,
mouse-dyad-10m,20250827_165542,fixed,2,0.10803305638245879,0,
mouse-dyad-10m,20250827_165542,fixed,3,0.06917847780690452,0,
mouse-dyad-10m,20250827_165542,fixed,4,0.07864220020438085,0,
mouse-dyad-10m,20250827_165542,matched,1,0.41883455890520516,0,
mouse-dyad-10m,20250827_165542,matched,2,0.3923001732794242,0,
mouse-dyad-10m,20250827_165542,matched,3,0.2147331941173857,0,
mouse-dyad-10m,20250827_165542,matched,4,0.2301284044963789,0,
mouse-dyad-10m,20250827_165542,all,1,1.0,152,0.42998585572842996
mouse-dyad-10m,20250827_165542,all,2,1.0,95,0.16934046345811052
mouse-dyad-10m,20250827_165542,all,3,1.0,983,3.22824302134647
mouse-dyad-10m,20250827_165542,all,4,1.0,178,27.384615384615383
mouse-dyad-10m,20250827_172440,fixed,1,0.35411205402763585,0,
mouse-dyad-10m,20250827_172440,fixed,2,0.3670332111518383,40,
mouse-dyad-10m,20250827_172440,fixed,3,0.3049273559337095,0,
mouse-dyad-10m,20250827_172440,fixed,4,0.3183605464845052,0,
mouse-dyad-10m,20250827_172440,matched,1,0.3313413604656329,0,
mouse-dyad-10m,20250827_172440,matched,2,0.3460624236365656,40,
