pair,r1_rate_per_min,r3_rate_per_min,r1_n_events,r3_n_events,r1_bias_excess,r3_bias_excess
M1_M3,0.9438202247191011,0.7752808988764045,28,23,-0.03900870467935291,0.11155812636665674
M1_M4,0.6067415730337078,0.5056179775280899,18,15,0.01837582058376741,0.12859700520833328
M1_M5,1.044943820224719,1.1797752808988764,31,35,0.04067100175926763,-0.05363116549394498
M1_M6,1.1123595505617978,1.449438202247191,33,43,0.06638866931792686,0.02020251321336708
M2_M3,1.2134831460674156,0.47191011235955055,36,14,-0.038252522008002,0.038120814732142905
M2_M4,1.6853932584269662,1.1797752808988764,50,35,0.1038624136703915,0.08922597736319793
M2_M5,1.3820224719101124,1.0786516853932584,41,32,0.02268050984874692,-0.007474967045709491
M2_M6,1.5842696629213482,0.8764044943820224,47,26,0.05851923265694292,-0.000567431633289095
M3_M4,1.0786516853932584,0.9438202247191011,32,28,0.05502503295429051,-0.03900870467935291
M3_M5,1.1797752808988764,1.4831460674157302,35,44,0.06065454879176935,-0.037074816632391316
M3_M6,1.044943820224719,0.8426966292134831,31,25,-0.023845127272990485,-0.020590128898620552
M4_M5,2.191011235955056,1.4157303370786516,65,42,-0.026596453797060327,-0.013573788004794585
M4_M6,2.2247191011235956,0.6067415730337078,66,18,-0.03376923480013527,0.12948693169487846
M5_M6,2.325842696629213,2.258426966292135,69,67,-0.04095495034664953,0.033168802287155574
