corpus,bin,n_sessions,rate_p50,rate_mean
mouse-dyad-10m,1,56,0.2000774203624315,0.7608156361383579
mouse-dyad-10m,2,56,0.0,0.4571621669860333
mouse-dyad-10m,3,56,0.0,0.3358002726152832
mouse-dyad-10m,4,56,0.0,0.3715280721591088
slap-2m,1,35,1.8494734136296456,2.647552383153646
slap-2m,2,35,1.4757122361442039,2.063171233409522
slap-2m,3,35,1.597692222416407,3.0004008146006553
slap-2m,4,35,1.5912481352560914,2.246290036845529
scn2a,1,29,1.6179775280898876,1.803951956605967
scn2a,2,29,1.2134831460674156,1.4087562960092985
scn2a,3,29,0.6741573033707865,0.971716388996513
scn2a,4,29,0.5393258426966292,0.6602092212320807
