corpus,session,near_frac_fixed,thr_matched_bl,rearA,rearB,obs_frames_matched,enr_matched,obs_frames_all,enr_all,near_onsets_A
mouse-dyad-10m,20250827_141755,0.1662217881342294,3.691910299450642,0.044778272909394616,0.06423454070222365,0,,343,0.8051643192488264,2
mouse-dyad-10m,20250827_145223,0.27814558510963,2.362337462204102,0.01886268916796617,0.05368013895902817,0,,277,1.7046153846153846,1
mouse-dyad-10m,20250827_152238,0.4244512818234327,1.2226167798660879,0.09735859954680766,0.11441995823521571,1969,9.07373271889401,3263,1.585134806898227,20
mouse-dyad-10m,20250827_155244,0.09897586279671654,5.758209299757698,0.038255190109633776,0.0838914992169016,0,,889,1.795959595959596,0
mouse-dyad-10m,20250827_162428,0.1645923235419895,4.212727174603157,0.09960734656247744,0.103100684783152,144,0.46677471636952994,2370,1.30939226519337,7
mouse-dyad-10m,20250827_165542,0.121290716725445,5.502044317113894,0.09288273027685985,0.08551275999000306,0,,1408,1.0944422852701128,0
mouse-dyad-10m,20250827_172440,0.33610836508236236,1.8371888508165446,0.031334347821257595,0.043952504193093336,40,16.0,417,1.5359116022099448,4
mouse-dyad-10m,20250829_124351,0.13973430488292532,4.16975614025784,0.09710867730039544,0.06589616563735727,99,0.9295774647887325,1355,1.2312585188550658,2
mouse-dyad-10m,20250829_134647,0.4328224025217266,1.3780553902433594,0.035223148384518906,0.5139960265047671,270,1.3267813267813267,3328,1.0133982947624849,6
mouse-dyad-10m,20250829_141847,0.4282937341019916,1.344802617183346,0.03613915825252424,0.1705377275706177,760,6.28099173553719,1434,1.4625191228964811,17
mouse-dyad-10m,20250829_144840,0.2261823433030631,3.647937243655238,0.04443333611041684,0.09201588491765947,1057,6.4451219512195115,1364,1.7912015758371636,15
mouse-dyad-10m,20250829_151905,0.19460504173678336,3.471957020716977,0.11868463875328368,0.053683000383211985,0,,767,0.6982248520710059,1
mouse-dyad-10m,20250829_155407,0.3170842698188074,1.9791749453932008,0.014745137212464276,0.02043341935125836,0,,62,6.888888888888888,0
mouse-dyad-10m,20250829_162253,0.5346332848304435,1.0803010520044973,0.055065589976563106,0.1230492396894334,4326,8.29530201342282,5092,4.282590412111017,46
mouse-dyad-10m,20250829_164919,0.16880859288221442,3.8116420836715608,0.06757897542986627,0.03156795663571333,0,,952,2.232121922626026,1
mouse-dyad-10m,20250829_171625,0.10147953969876039,7.152332192859401,0.06286932954192029,0.2983349624561248,821,1.101274312541918,3484,1.0798078413141174,0
mouse-dyad-10m,20250903_141046,0.24098613764606566,3.8423042761018187,0.05527169325098858,0.10415648464922024,0,,1036,1.003875968992248,0
mouse-dyad-10m,20250903_143938,0.35079057420067866,1.6801152107909176,0.06628938292448586,0.07138215807041025,1275,9.922178988326849,1768,2.2295081967213117,29
mouse-dyad-10m,20250903_150657,0.32919202914648776,1.8500443694655768,0.14955347225307683,0.05549384635891056,1674,12.633962264150945,2840,2.166285278413425,30
