measure,unit,corpus,familiarity,p25,p50,p75
displays per minute,per min,Mouse-Dyad-10M,novel mice,0.0,0.15005843198407368,0.5126983663034446
displays per minute,per min,SLAP-2M,familiar mice,0.6391282803808522,1.8963337548607038,3.985593566160354
displays per minute,per min,s-DANNCE SCN2A,"rats, mixed genotype",0.8764044943820224,1.1123595505617978,1.449438202247191
initiator lag,s,Mouse-Dyad-10M,novel mice,0.15988893049139397,0.37307168572441196,0.8893795084526984
initiator lag,s,SLAP-2M,familiar mice,1.374999999799177,4.733333331768596,14.683333329290813
initiator lag,s,s-DANNCE SCN2A,"rats, mixed genotype",0.52,1.32,2.82
min nose gap,body lengths,Mouse-Dyad-10M,novel mice,,0.0672759836760236,
min nose gap,body lengths,SLAP-2M,familiar mice,,0.5166634368346786,
min nose gap,body lengths,s-DANNCE SCN2A,"rats, mixed genotype",,0.8716499182041342,
"near enrichment, arena-controlled",× chance,Mouse-Dyad-10M,novel mice,0.6542400433144239,1.7466667591163416,2.6864705706698775
"near enrichment, arena-controlled",× chance,SLAP-2M,familiar mice,1.091920951401735,1.3729582197302985,1.5904665771338506
"near enrichment, arena-controlled",× chance,s-DANNCE SCN2A,"rats, mixed genotype",1.389221154527652,1.67131241272528,1.9830694257400037
