corpus,familiarity,session,n_displays,initiator_bias,coin_flip_null,excess
Mouse-Dyad-10M,novel mice,20250827_152238,11,1.0,0.623046875,0.376953125
Mouse-Dyad-10M,novel mice,20250829_144840,9,0.8888888888888888,0.63671875,0.25217013888888884
Mouse-Dyad-10M,novel mice,20250829_162253,31,0.9032258064516129,0.572232224047184,0.3309935824044289
Mouse-Dyad-10M,novel mice,20250903_143938,9,1.0,0.63671875,0.36328125
Mouse-Dyad-10M,novel mice,20250903_150657,15,0.7333333333333333,0.604736328125,0.12859700520833328
Mouse-Dyad-10M,novel mice,20250904_140306,64,0.734375,0.5496733768739834,0.18470162312601657
Mouse-Dyad-10M,novel mice,20250904_183921,42,0.7142857142857143,0.5611928356238423,0.15309287866187204
Mouse-Dyad-10M,novel mice,20250905_171829,8,0.875,0.63671875,0.23828125
Mouse-Dyad-10M,novel mice,20250905_174513,51,0.7254901960784313,0.5561375863296085,0.16935260974882282
Mouse-Dyad-10M,novel mice,20250905_181402,14,0.8571428571428571,0.604736328125,0.2524065290178571
Mouse-Dyad-10M,novel mice,20250905_200953,29,0.896551724137931,0.5747229903936386,0.32182873374429244
Mouse-Dyad-10M,novel mice,20250905_210254,40,0.725,0.5626853438097896,0.16231465619021035
Mouse-Dyad-10M,novel mice,20250907_143021,57,0.7894736842105263,0.5530734525824892,0.23640023162803714
Mouse-Dyad-10M,novel mice,20250907_154801,26,0.6923076923076923,0.577490508556366,0.11481718375132632
Mouse-Dyad-10M,novel mice,20250907_161657,11,1.0,0.623046875,0.376953125
Mouse-Dyad-10M,novel mice,20250907_171538,9,0.8888888888888888,0.63671875,0.25217013888888884
Mouse-Dyad-10M,novel mice,20250907_174343,10,1.0,0.623046875,0.376953125
Mouse-Dyad-10M,novel mice,20250908_161812,23,0.8695652173913043,0.5840940475463867,0.2854711698449176
Mouse-Dyad-10M,novel mice,20250908_171240,18,0.7777777777777778,0.5927352905273438,0.18504248725043404
Mouse-Dyad-10M,novel mice,20250908_173928,8,0.75,0.63671875,0.11328125
SLAP-2M,familiar mice,2022-10-07/10072022134804,8,0.75,0.63671875,0.11328125
SLAP-2M,familiar mice,2022-10-07/10072022161055,41,0.5121951219512195,0.5626853438097896,-0.050490221858570106
SLAP-2M,familiar mice,2022-10-07/10072022162233,69,0.6086956521739131,0.5482013271582438,0.060494325015669315
SLAP-2M,familiar mice,2022-10-07/10072022163346,25,0.56,0.5805901288986206,-0.020590128898620552
SLAP-2M,familiar mice,2022-10-07/10072022170913,11,0.8181818181818182,0.623046875,0.19513494318181823
SLAP-2M,familiar mice,2022-10-07/10072022173152,10,0.6,0.623046875,-0.023046875000000022
SLAP-2M,familiar mice,2022-10-07/10072022180149,71,0.6197183098591549,0.5475127367702688,0.07220557308888609
SLAP-2M,familiar mice,2022-10-07/10072022181300,58,0.5344827586206896,0.5521583930552049,-0.017675634434515253
SLAP-2M,familiar mice,2022-10-07/10072022183527,38,0.5526315789473685,0.564292660317733,-0.011661081370364479
SLAP-2M,familiar mice,2022-10-07/10072022184618,33,0.6363636363636364,0.5699749670457095,0.06638866931792686
SLAP-2M,familiar mice,2022-10-21/10212022175626,34,0.5294117647058824,0.5679168797796592,-0.03850511507377685
SLAP-2M,familiar mice,2022-10-21/10212022181154,35,0.5428571428571428,0.5679168797796592,-0.025059736922516396
SLAP-2M,familiar mice,2022-10-30/10302022030623,10,0.9,0.623046875,0.276953125
SLAP-2M,familiar mice,2022-10-30/10302022031841,8,0.875,0.63671875,0.23828125
SLAP-2M,familiar mice,2022-10-30/10302022034217,10,0.5,0.623046875,-0.123046875
SLAP-2M,familiar mice,2022-10-30/10302022035407,22,0.5909090909090909,0.5840940475463867,0.006815043362704221
SLAP-2M,familiar mice,2022-10-30/10302022040455,14,0.7857142857142857,0.604736328125,0.1809779575892857
SLAP-2M,familiar mice,2022-10-19/10192022175658,11,0.6363636363636364,0.623046875,0.013316761363636354
SLAP-2M,familiar mice,2022-10-19/10192022180303,12,0.6666666666666666,0.61279296875,0.05387369791666663
SLAP-2M,familiar mice,2022-10-19/10192022180545,22,0.5909090909090909,0.5840940475463867,0.006815043362704221
SLAP-2M,familiar mice,2022-10-19/10192022181152,20,0.75,0.5880985260009766,0.16190147399902344
SLAP-2M,familiar mice,2022-10-19/10192022183808,8,0.5,0.63671875,-0.13671875
SLAP-2M,familiar mice,2022-10-19/10192022184226,25,0.56,0.5805901288986206,-0.020590128898620552
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC1/2022_09_22_M3_M4,32,0.625,0.5699749670457095,0.05502503295429051
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC1/2022_09_22_M5_M6,69,0.5072463768115942,0.5482013271582438,-0.04095495034664953
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC1/2022_09_23_M1_M6,33,0.6363636363636364,0.5699749670457095,0.06638866931792686
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC1/2022_09_23_M3_M2,36,0.5277777777777778,0.5660302997857798,-0.038252522008002
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC1/2022_09_23_M5_M4,65,0.5230769230769231,0.5496733768739834,-0.026596453797060327
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC1/2022_09_24_M2_M4,50,0.66,0.5561375863296085,0.1038624136703915
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC1/2022_09_24_M3_M6,31,0.5483870967741935,0.572232224047184,-0.023845127272990485
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC1/2022_09_24_M5_M1,31,0.6129032258064516,0.572232224047184,0.04067100175926763
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC1/2022_09_25_M1_M4,18,0.6111111111111112,0.5927352905273438,0.01837582058376741
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC1/2022_09_25_M5_M3,35,0.6285714285714286,0.5679168797796592,0.06065454879176935
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC1/2022_09_25_M6_M2,47,0.6170212765957447,0.5585020439388018,0.05851923265694292
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC1/2022_09_26_M1_M3,28,0.5357142857142857,0.5747229903936386,-0.03900870467935291
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC1/2022_09_26_M5_M2,41,0.5853658536585366,0.5626853438097896,0.02268050984874692
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC1/2022_09_26_M6_M4,66,0.5151515151515151,0.5489207499516504,-0.03376923480013527
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC3/2022_10_04_M1_M2,13,0.9230769230769231,0.61279296875,0.31028395432692313
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC3/2022_10_04_M3_M4,28,0.5357142857142857,0.5747229903936386,-0.03900870467935291
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC3/2022_10_04_M5_M6,67,0.582089552238806,0.5489207499516504,0.033168802287155574
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC3/2022_10_05_M1_M6,43,0.5813953488372093,0.5611928356238423,0.02020251321336708
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC3/2022_10_05_M3_M2,14,0.6428571428571429,0.604736328125,0.038120814732142905
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC3/2022_10_05_M5_M4,42,0.5476190476190477,0.5611928356238423,-0.013573788004794585
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC3/2022_10_06_M2_M4,35,0.6571428571428571,0.5679168797796592,0.08922597736319793
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC3/2022_10_06_M3_M6,25,0.56,0.5805901288986206,-0.020590128898620552
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC3/2022_10_06_M5_M1,35,0.5142857142857142,0.5679168797796592,-0.05363116549394498
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC3/2022_10_07_M1_M4,15,0.7333333333333333,0.604736328125,0.12859700520833328
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC3/2022_10_07_M5_M3,44,0.5227272727272727,0.559802089359664,-0.037074816632391316
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC3/2022_10_07_M6_M2,26,0.5769230769230769,0.577490508556366,-0.000567431633289095
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC3/2022_10_08_M1_M3,23,0.6956521739130435,0.5840940475463867,0.11155812636665674
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC3/2022_10_08_M5_M2,32,0.5625,0.5699749670457095,-0.007474967045709491
s-DANNCE SCN2A,"rats, mixed genotype",s-DANNCE-SCN2A_SOC3/2022_10_08_M6_M4,18,0.7222222222222222,0.5927352905273438,0.12948693169487846
