pair,baseline_deg,err3d_mm,n,law_mm,within_band
1-2,13.456062788148195,12.587982957908302,1277424,6.544068835874026,False
2-3,15.05444980399756,5.240248530874608,1277424,5.862865743082097,True
2-4,15.502608284064486,4.438029995017278,1277424,5.697357245680821,True
0-2,18.0265177997518,9.276514862986982,1277424,4.92088327563939,False
1-3,21.404500755057953,4.224152239759919,1277424,4.172633942864781,True
1-4,21.498602194292552,3.758585737362739,1277424,4.155229596533499,True
0-4,21.94229250634713,4.024916462742328,1277424,4.075232168274271,True
0-3,22.051813649785892,4.26171878255149,1277424,4.0559943290682865,True
3-4,30.28893602794256,3.375778818742107,1277424,3.01927142756035,True
0-1,31.489980635067617,2.689374764858427,1277424,2.915294371511675,True
