session,calibration,n_frames,n_joints,n,linear_reproj_p50,linear_heldout_p50,linear_heldout_n,optim_reproj_p50,optim_heldout_p50,optim_heldout_n,optim_nosmooth_reproj_p50,optim_nosmooth_heldout_p50,optim_nosmooth_heldout_n
20250827_141755,0,23563,15,353445,1.6625675204971706,2.2580761055245695,1767225,1.659755365908619,2.2620342458120675,1767225,1.6540341614685203,2.2527668290271534,1767225
20250827_145223,0,23340,15,350100,1.6013370568698968,2.1814119316453398,1750500,1.601594272730106,2.1947379908533327,1750500,1.593404614496742,2.179137784817207,1750500
20250827_152238,0,23587,15,353805,1.634007384791116,2.22906455079198,1769025,1.6372647679014847,2.2480737065590755,1769025,1.6268200927519239,2.228986891285444,1769025
20250827_155244,0,23185,15,347775,1.9747195256392083,2.7322598766148753,1738875,1.968782221561406,2.7347390715055897,1738875,1.9671821648078427,2.7347216088347843,1738875
20250827_162428,0,23312,15,349680,1.8318703195821529,2.539315746100061,1748400,1.8267840736938203,2.5411278422348182,1748400,1.8220760987601445,2.535018454099067,1748400
20250827_165542,0,23643,15,354645,1.9945736669693956,2.7571457845196607,1773225,1.9873398265882372,2.7608211190791114,1773225,1.985482991904314,2.7605912938844033,1773225
20250827_172440,0,23170,15,347550,1.754828063538794,2.4351629096455336,1737750,1.7563165157524507,2.4503990866340732,1737750,1.7480712449380988,2.437281599735061,1737750
20250829_124351,1,23856,15,357840,1.7062995690809521,2.372043238210452,1789200,1.7016436799963446,2.3760334909380756,1789200,1.6981807376862164,2.370455702119293,1789200
20250829_134647,1,22263,15,333945,1.8797963332811078,2.585625530825726,1669725,1.9049137530853144,2.635619521204892,1669725,1.8686308268408371,2.5803510000031205,1669725
20250829_141847,1,22438,15,336570,1.8835971944138352,2.6223215097509556,1682850,1.8961463097033737,2.65883027888285,1682850,1.8740869793039874,2.6226209862175063,1682850
20250829_144840,1,23369,15,350535,1.7818297970202863,2.457535066050134,1752675,1.7805600228641016,2.4687082351247103,1752675,1.7744816205727332,2.4604411310962804,1752675
20250829_151905,1,23424,15,351360,1.8507047071713236,2.5805944445864033,1756800,1.8485342184467966,2.593727597411087,1756800,1.8425100490322157,2.5833428604349047,1756800
20250829_155407,1,23539,15,353085,1.6955843310020149,2.347034258379488,1765425,1.7031579417688305,2.3726565808106157,1765425,1.6900235384964435,2.351717545559749,1765425
20250829_162253,1,22919,15,343785,1.7522756151046643,2.443448480822634,1718925,1.7692149023568018,2.4860821357924707,1718925,1.7444084117532583,2.443776580640362,1718925
20250829_164919,1,23792,15,356880,1.677743641403958,2.3282140599182504,1784400,1.674537075862482,2.3323202906092133,1784400,1.6699072283361827,2.3263586384288626,1784400
20250829_171625,1,22681,15,340215,1.8768783371703814,2.580020750427165,1701075,1.875106623865277,2.58912305092834,1701075,1.8675421852810103,2.5788808481929157,1701075
20250903_141046,2,22293,15,334395,2.4128120886191935,3.3880920424324215,1671975,2.4132157830971366,3.411076276839772,1671975,2.4020835951611375,3.391426011762127,1671975
20250903_143938,2,23702,15,355530,2.5145296478847015,3.376207265760776,1777650,2.51261283072793,3.397779866961357,1777650,2.5062191480711453,3.388388684890341,1777650
20250903_150657,2,23001,15,345015,2.356175582557305,3.2429143165392493,1725075,2.356564931409171,3.269049582506893,1725075,2.3486267262554046,3.255168939876729,1725075
20250903_153433,2,23079,15,346185,2.3338840483519476,3.1774548200001456,1730925,2.3319007053571803,3.1983286871221277,1730925,2.325853451270896,3.189236365482386,1730925
20250904_131913,2,22542,15,338130,2.278131626766033,3.1482823076419173,1690650,2.2730693748642716,3.155026521890997,1690650,2.268225954356352,3.149337278066106,1690650
20250904_140306,2,4319,15,64785,2.493782272728488,3.417904571483845,323925,2.5815142632769934,3.568353801349309,323925,2.476396932287757,3.4032526303399657,323925
20250904_143552,2,23478,15,352170,2.2417238907644386,3.104574181560163,1760850,2.235926025693177,3.113997936162562,1760850,2.231962231308266,3.1077291366211472,1760850
20250904_150414,2,23388,15,350820,2.303850441377589,3.160757440036651,1754100,2.2979483467265664,3.1679028511629452,1754100,2.2939595434163342,3.162855292594367,1754100
20250904_153332,2,23724,15,355860,2.2662744224667213,3.0769737204036876,1779300,2.262140005356196,3.090478070086931,1779300,2.257974085814639,3.088294254436949,1779300
