subset,k,n_sessions,within_idf1_mean,cross_idf1_mean,within_switches_total
k2_048-316,2,50,0.6444470403221811,0.644447040322181,3540
k2_316-397,2,50,0.6854390241553474,0.6849778794452439,2538
k2_563-048,2,50,0.6883340294264997,0.6882656898610839,2383
k3_315-316-397,3,50,0.7495012546038208,0.7495239444527558,1101
k3_563-048-315,3,50,0.7793815938074086,0.7795112422093494,1297
k3_563-316-397,3,50,0.7777855573711786,0.7778132472631752,912
k4_048-315-316-397,4,50,0.8119635253192802,0.8119485585732589,583
k4_563-048-315-316,4,50,0.802907207888215,0.8030377639080326,771
k4_563-048-316-397,4,50,0.8431580829525059,0.843269793194277,484
k5_full,5,50,0.8611159491414125,0.8612501134978724,413
