r,idf1,switches,n_cells,n_sessions,arm,camera_frames,switches_per_100k_camera_frames
0.0,0.5947142470595568,236577,1,50,previous default,45021960,525.4702371909175
0.25,0.6635816924410025,23618,1,50,previous default,45021960,52.45884452831463
0.5,0.6775776815361396,11456,1,50,previous default,45021960,25.445360441882137
1.0,0.7135717186552212,4475,1,50,previous default,45021960,9.93959392261021
2.0,0.7338174029584391,2635,1,50,previous default,45021960,5.852699438229699
3.0,0.7433735810049323,2299,1,50,previous default,45021960,5.1063969671689105
4.0,0.7499323947927159,2185,1,50,previous default,45021960,4.853187200201857
6.0,0.7492538449691502,2071,1,50,previous default,45021960,4.599977433234804
8.0,0.7523555140321015,1993,1,50,previous default,45021960,4.426728645309978
12.0,0.7612975891790706,1887,1,50,previous default,45021960,4.191287984796753
16.0,0.7578573802008971,1871,1,50,previous default,45021960,4.155749771889096
24.0,0.7560069750072169,1831,1,50,previous default,45021960,4.066904239619954
0.0,0.5985167561244499,284609,1,50,fresh anchor (shipped),45021960,632.1559523397026
0.25,0.7651460802683964,2096,1,50,fresh anchor (shipped),45021960,4.655505890903017
0.5,0.8351704412005381,657,1,50,fresh anchor (shipped),45021960,1.4592878675206498
1.0,0.8373687233958901,583,1,50,fresh anchor (shipped),45021960,1.294923632822738
2.0,0.8539404518830561,483,1,50,fresh anchor (shipped),45021960,1.0728098021498842
3.0,0.8584627443069808,427,1,50,fresh anchor (shipped),45021960,0.9484260569730859
4.0,0.8578849561999006,443,1,50,fresh anchor (shipped),45021960,0.9839642698807426
6.0,0.8612501134978726,413,1,50,fresh anchor (shipped),45021960,0.9173301206788864
8.0,0.861250071462162,411,1,50,fresh anchor (shipped),45021960,0.9128878440654294
12.0,0.8613513468864004,371,1,50,fresh anchor (shipped),45021960,0.8240423117962878
16.0,0.86050093889509,383,1,50,fresh anchor (shipped),45021960,0.8506959714770304
24.0,0.860500946054445,383,1,50,fresh anchor (shipped),45021960,0.8506959714770304
