corr2d,corr3d,switches,switches_per_100k,idf1_cross,idf1_within,n_sessions
1,0.0,284609,632.1559523397027,0.5985167561244499,0.5985692660569274,50
1,0.25,2096,4.655505890903017,0.7651460802683964,0.7652986334716924,50
1,0.5,657,1.45928786752065,0.8351704412005381,0.8350322703604385,50
1,1.0,583,1.294923632822738,0.8373687233958901,0.8372385134096828,50
1,2.0,483,1.0728098021498842,0.8539404518830561,0.8538068806967687,50
1,3.0,427,0.948426056973086,0.8584627443069808,0.8583294990298695,50
1,4.0,443,0.9839642698807426,0.8578849561999006,0.8577517733984245,50
1,6.0,413,0.9173301206788865,0.8612501134978726,0.8611159491414125,50
1,8.0,411,0.9128878440654294,0.861250071462162,0.861115908346884,50
1,12.0,371,0.8240423117962878,0.8613513468864004,0.861214826494147,50
1,16.0,383,0.8506959714770304,0.86050093889509,0.8603642618715998,50
1,24.0,383,0.8506959714770304,0.860500946054445,0.8603642680192547,50
