bin_left_s,bin_right_s,p_female_led_displays
0.0,0.0625,0.08564814814814815
0.0625,0.125,0.08564814814814815
0.125,0.1875,0.11574074074074074
0.1875,0.25,0.0763888888888889
0.25,0.3125,0.06712962962962964
0.3125,0.375,0.06018518518518518
0.375,0.4375,0.037037037037037035
0.4375,0.5,0.05555555555555555
0.5,0.5625,0.027777777777777776
0.5625,0.625,0.032407407407407406
0.625,0.6875,0.037037037037037035
0.6875,0.75,0.02546296296296296
0.75,0.8125,0.011574074074074073
0.8125,0.875,0.02546296296296296
0.875,0.9375,0.020833333333333332
0.9375,1.0,0.013888888888888888
1.0,1.0625,0.023148148148148147
1.0625,1.125,0.018518518518518517
1.125,1.1875,0.006944444444444444
1.1875,1.25,0.009259259259259259
1.25,1.3125,0.011574074074074073
1.3125,1.375,0.013888888888888888
1.375,1.4375,0.009259259259259259
1.4375,1.5,0.004629629629629629
1.5,1.5625,0.0023148148148148147
1.5625,1.625,0.006944444444444444
1.625,1.6875,0.011574074074074073
1.6875,1.75,0.0023148148148148147
1.75,1.8125,0.0023148148148148147
1.8125,1.875,0.006944444444444444
1.875,1.9375,0.0
1.9375,2.0,0.004629629629629629
