session,n,all_views_px,worst_dropped_px
20250827_141755,353453,1.5819286680479892,1.313769020672667
20250827_145223,350107,1.5198511053849975,1.2675903317634434
20250827_152238,353817,1.5630043474345392,1.3080926788742873
20250827_155244,347789,1.8784992696852258,1.5892132015001355
20250827_162428,349693,1.7866948551784048,1.4951372715636524
20250827_165542,354659,1.8898906014506225,1.5983984870147647
20250827_172440,347560,1.6651222383704056,1.3960974153402954
20250829_124351,357851,1.6387558460847784,1.3532371436691433
20250829_134647,333956,1.9062267564621589,1.563095008355887
20250829_141847,336580,1.8697201778410064,1.52631248200377
20250829_144840,350536,1.7170440159597729,1.4189454936474102
20250829_151905,351374,1.7794090299167162,1.4704694543531764
20250829_155407,353088,1.6200555507180743,1.3380561885166984
20250829_162253,343796,1.717221743824184,1.417968801164323
20250829_164919,356894,1.59986275815322,1.3334186475842729
20250829_171625,340217,1.813404851860297,1.5144826936089049
20250903_141046,334406,2.365803226866085,1.9858360113126743
20250903_143938,355542,2.3698823292224036,1.9439116921477584
20250903_150657,345028,2.220042248103863,1.8831522734114092
20250903_153433,346185,2.217547790093528,1.8165428828868813
20250904_131913,338143,2.149069619233323,1.817855472511961
20250904_140306,64792,2.407100772764003,1.991028960888298
20250904_143552,352175,2.1165283214157204,1.7733519693687392
20250904_150414,350829,2.175677164612794,1.8059028712597556
20250904_153332,355867,2.1373085430442478,1.7709479834924697
20250904_160014,351583,2.2019692836196816,1.826083093971781
20250904_165017,354818,2.1740738613621433,1.7908896210979148
20250904_174232,351670,2.2315439293282044,1.9030676379908908
20250904_181215,348499,2.338536009831341,1.947174214171719
20250904_183921,313070,2.1885393636301,1.792826934971354
20250905_165151,350009,2.0622999572595493,1.7136679363688023
20250905_171829,355247,2.079987276079144,1.7572046322348376
20250905_174513,342949,2.064117989333667,1.7294332596248665
20250905_181402,340022,2.131574485527757,1.7706724642362093
20250905_191445,349246,2.1443549460069673,1.7796832535528964
20250905_194049,344750,2.175850069329942,1.828480401555775
20250905_200953,352837,2.1702967414759686,1.7815937997672175
20250905_203607,350365,2.1728153382576596,1.7964130422212734
20250905_210254,348141,2.1709464213866085,1.7738339010017963
20250905_213215,347474,2.1643980439046366,1.8145671023935586
20250907_143021,334625,2.2343042346579214,1.8468321334286115
20250907_151901,334383,2.369385723985351,1.9977914476755285
20250907_154801,338427,2.254223426114193,1.8635935341982726
20250907_161657,345373,2.216796541557646,1.8626842205428837
20250907_164826,348435,2.276618968448421,1.8787053715328257
20250907_171538,344953,2.2242893708698728,1.869807667909866
20250907_174343,317345,2.3652761164465517,1.9760914243985137
20250907_181225,344740,2.17683191674592,1.8240401495560599
20250907_183823,329979,2.35283741891089,1.9077929068172719
20250907_190610,350135,2.1722608936420182,1.8369870129896844
MEAN,17013412,2.0563956031888107,1.7112546320224638
CI95_LO,50,1.9841585841120104,1.6509174463020697
CI95_HI,50,2.1286326222656107,1.7715918177428578
PAIRED_DELTA_mean__sd_in_all_views_col,50,0.047357511704452925,-0.3451409711663465
PAIRED_DELTA_CI95,50,-0.3585998270768542,-0.3316821152558388
