session,group,label,anipose,dlt,anipose_optim,refined,n_optim_keypoints
20250827_141755,reproj_p50,,1.6625631861036851,1.6757798093328506,1.6540341614685203,1.5746917847304298,353445
20250827_145223,reproj_p50,,1.6013471872520832,1.6185011385526464,1.593404614496742,1.5178940069693692,350100
20250827_152238,reproj_p50,,1.6339879204180243,1.6485290928505592,1.6268200927519239,1.5501284887067492,353805
20250827_155244,reproj_p50,,1.9747078811354506,1.9997926333098057,1.9671821648078427,1.8795914082848704,347775
20250827_162428,reproj_p50,,1.8319025891051612,1.8544166752295204,1.8220760987601445,1.7394302607751062,349680
20250827_165542,reproj_p50,,1.9945599211657523,2.029347727081249,1.985482991904314,1.8978706205579248,354645
20250827_172440,reproj_p50,,1.754834037299359,1.793389272740789,1.7480712449380988,1.6674587055578436,347550
20250829_124351,reproj_p50,,1.706298886658852,1.742411722741064,1.6981807376862164,1.6167674827936183,357840
20250829_134647,reproj_p50,,1.8798218080391285,1.9054700383541854,1.8686308268408371,1.780985787369352,333945
20250829_141847,reproj_p50,,1.883601951590755,1.9171227325693216,1.8740869793039874,1.7853839292415858,336570
20250829_144840,reproj_p50,,1.7818264587080268,1.8166348402824497,1.7744816205727332,1.6889367055952789,350535
20250829_151905,reproj_p50,,1.8506889802587683,1.8891039038581798,1.8425100490322157,1.7549983903696602,351360
20250829_155407,reproj_p50,,1.6955699104747177,1.7346711906033179,1.6900235384964435,1.609105471564216,353085
20250829_162253,reproj_p50,,1.7523063898166211,1.7814245531110475,1.7444084117532583,1.6610146142427271,343785
20250829_164919,reproj_p50,,1.6777543545717055,1.7034372352001035,1.6699072283361827,1.5920377282028313,356880
20250829_171625,reproj_p50,,1.8768783371703814,1.9007916068931543,1.8675421852810103,1.7801562212000903,340215
20250903_141046,reproj_p50,,2.412834249845088,2.4878012639168854,2.4020835951611375,2.300662688122641,334395
20250903_143938,reproj_p50,,2.514546423621214,2.6507677453053016,2.5062191480711453,2.3912542702588504,355530
20250903_150657,reproj_p50,,2.3561712884814208,2.438533656678662,2.3486267262554046,2.2497267030941885,345015
20250903_153433,reproj_p50,,2.3338840483519476,2.4456240582128537,2.325853451270896,2.2184892630932707,346185
20250904_131913,reproj_p50,,2.278165206995116,2.3453298186942955,2.268225954356352,2.1690888725776114,338130
20250904_140306,reproj_p50,,2.4937797574652465,2.594272481142735,2.476396932287757,2.3668320725497054,64785
20250904_143552,reproj_p50,,2.241725849767249,2.3194910161204203,2.231962231308266,2.1309191075933827,352170
20250904_150414,reproj_p50,,2.3038557162419995,2.400141100016671,2.2939595434163342,2.189946037412825,350820
20250904_153332,reproj_p50,,2.266280538128272,2.37574420969483,2.257974085814639,2.152969869158354,355860
20250904_160014,reproj_p50,,2.3255215012041144,2.416953094040458,2.3156426559341243,2.2095155142848553,351570
20250904_165017,reproj_p50,,2.293257057852217,2.3980714862088846,2.28394663694018,2.1793128865541567,354810
20250904_174232,reproj_p50,,2.3785091141996437,2.45738579201186,2.3689939025361113,2.2679927617389897,351660
20250904_181215,reproj_p50,,2.479015637892409,2.589391638281127,2.470368660890961,2.362987406600835,348495
20250904_183921,reproj_p50,,2.2595531008432035,2.354096648035189,2.249953715574515,2.1455136221701117,313065
20250905_165151,reproj_p50,,2.1503471148794353,2.2302487393269605,2.1414100747057088,2.0443671810370825,349995
20250905_171829,reproj_p50,,2.2106093127822133,2.2818243131576894,2.2004575198426672,2.102345977606535,355245
20250905_174513,reproj_p50,,2.1484228303843587,2.2152530238001242,2.1386053708381136,2.043460088535118,342945
20250905_181402,reproj_p50,,2.1987939867727,2.26671628861133,2.189022881674303,2.0886527233695573,340020
20250905_191445,reproj_p50,,2.2328924269022705,2.3179863432947245,2.2206723270450017,2.1200313528138945,349245
20250905_194049,reproj_p50,,2.2903408798051457,2.359980510800104,2.2796438019145877,2.1808542707285357,344745
20250905_200953,reproj_p50,,2.2829823663487607,2.3926952169539106,2.274606204767732,2.1687494333242383,352830
20250905_203607,reproj_p50,,2.2629596309823903,2.3488296727443605,2.254065518763799,2.151137462039428,350355
20250905_210254,reproj_p50,,2.2471670747717143,2.3514763549586197,2.237917812831745,2.1322128551548905,348135
20250905_213215,reproj_p50,,2.2690458727160756,2.347655865974224,2.259444365433476,2.1581308180225527,347460
20250907_143021,reproj_p50,,2.282307149443082,2.3520268515401943,2.265409313233774,2.160386706681566,334620
20250907_151901,reproj_p50,,2.473102314535859,2.5502780736752895,2.460033377215282,2.3535834045435204,334380
20250907_154801,reproj_p50,,2.323295542096215,2.421945572575475,2.314217828735898,2.2090836538745195,338415
20250907_161657,reproj_p50,,2.3253301704515974,2.40702089039288,2.3160651619329022,2.214037992120917,345360
20250907_164826,reproj_p50,,2.3557888274518173,2.4471904117590735,2.3469100685370146,2.24159835548958,348435
20250907_171538,reproj_p50,,2.319912289736006,2.394600147179677,2.3109008649595197,2.2088801929083055,344940
20250907_174343,reproj_p50,,2.398958559058806,2.462020500833307,2.3880132481270966,2.2821467396745003,317340
20250907_181225,reproj_p50,,2.2904187663240476,2.362116831624308,2.2814345387879778,2.1799346938975965,344730
20250907_183823,reproj_p50,,2.322287592378613,2.4018689413846777,2.3073941036391625,2.1992403144990975,329970
20250907_190610,reproj_p50,,2.2734752331323245,2.3351715309853667,2.2639332386922817,2.1661974538548154,350130
