session,calibration,n_frames,n_joints,n,linear_reproj_p50,linear_heldout_p50,linear_heldout_n,optim_reproj_p50,optim_heldout_p50,optim_heldout_n,optim_nosmooth_reproj_p50,optim_nosmooth_heldout_p50,optim_nosmooth_heldout_n
20250827_141755,0,5889,15,88335,1.6648514890339907,2.259187529835175,441675,1.672811564979201,2.2820772328276737,441675,1.656040344534419,2.254173344993756,441675
20250827_145223,0,5836,15,87540,1.5987537355682337,2.180408197387954,437700,1.6145851677576721,2.223330443897703,437700,1.590663960676102,2.177350105218495,437700
20250827_152238,0,5899,15,88485,1.6362214976758351,2.2287487854926944,442425,1.6536126264730178,2.2721855163665627,442425,1.6288640130245162,2.2284639491429257,442425
20250827_155244,0,5796,15,86940,1.9734370662114649,2.727898194590813,434700,1.9698870262166595,2.7353353486272836,434700,1.9651865235665538,2.7307047919085456,434700
20250827_162428,0,5824,15,87360,1.8328947042975317,2.5378732779579223,436800,1.832746811039931,2.546773758042084,436800,1.823606231345964,2.5343125515054696,436800
20250827_165542,0,5913,15,88695,1.995631863841193,2.7596623346888296,443475,1.989310655453513,2.7637446040454074,443475,1.9865795468160534,2.7626065359635663,443475
20250827_172440,0,5794,15,86910,1.757715219898717,2.438613782130318,434550,1.7835207370617505,2.4972514800877,434550,1.7512654816490358,2.441489187459573,434550
20250829_124351,1,5961,15,89415,1.7062725382714958,2.368117787892427,447075,1.7045282943674525,2.378782048415958,447075,1.697662172323912,2.366671782177964,447075
20250829_134647,1,5569,15,83535,1.875894319353686,2.5816034730654716,417675,1.9401224597938274,2.6874254334627667,417675,1.8648400916380834,2.5757766826758295,417675
20250829_141847,1,5606,15,84090,1.8841239239833891,2.6174208855151364,420450,1.9255964213144892,2.695948054174802,420450,1.8748526359962445,2.6181243355500103,420450
20250829_144840,1,5857,15,87855,1.7782297974585681,2.454802177190831,439275,1.7834215283115828,2.4815843674261058,439275,1.7706473718868014,2.4580699843859173,439275
20250829_151905,1,5856,15,87840,1.852775591064637,2.5857904505054554,439200,1.867154547856157,2.6239837750609594,439200,1.8444464095272253,2.587486882005585,439200
20250829_155407,1,5894,15,88410,1.6997264296619248,2.349280363182131,442050,1.8092185535244347,2.529225700292322,442050,1.6939250641809758,2.3529108152778884,442050
20250829_162253,1,5723,15,85845,1.7489268630893924,2.44294634988792,429225,1.8176898493172289,2.5535202790456535,429225,1.741810669304217,2.4437044736159477,429225
20250829_164919,1,5948,15,89220,1.6812535055466367,2.328729683210854,446100,1.687669593610551,2.351246323675267,446100,1.6731331467697306,2.326771199126301,446100
20250829_171625,1,5669,15,85035,1.8751141245066045,2.578347712238799,425175,1.877451001013186,2.5944814767993667,425175,1.8651764043382666,2.577284330649858,425175
20250903_141046,2,5562,15,83430,2.4148877236255655,3.3889718138846385,417150,2.4280947772199597,3.436691369846102,417150,2.4037992821477374,3.391541218741592,417150
