session,group,label,dlt,refined
20250827_141755,reproj_p50,cameras it used,1.6782192913178018,1.5764072468068295
20250827_141755,heldout_p50,a camera it never saw,2.2739758008297235,2.3468713044026526
20250827_145223,reproj_p50,cameras it used,1.6148843986717503,1.5136953534194388
20250827_145223,heldout_p50,a camera it never saw,2.2111959360590734,2.2669862494337893
20250827_152238,reproj_p50,cameras it used,1.6509089009032607,1.5514161503918968
20250827_152238,heldout_p50,a camera it never saw,2.2542734303890333,2.317918635680103
20250827_155244,reproj_p50,cameras it used,1.9984973510254584,1.8778094377692511
20250827_155244,heldout_p50,a camera it never saw,2.777578365896608,2.8097910202868817
20250827_162428,reproj_p50,cameras it used,1.8557680646385246,1.7416382451333967
20250827_162428,heldout_p50,a camera it never saw,2.5792651751399696,2.6335856722068174
20250827_165542,reproj_p50,cameras it used,2.029757732443188,1.8977802354740345
20250827_165542,heldout_p50,a camera it never saw,2.8331271666328246,2.8502949558038355
20250827_172440,reproj_p50,cameras it used,1.7959331648323604,1.6699708164951397
20250827_172440,heldout_p50,a camera it never saw,2.516493291447014,2.521241870325628
20250829_124351,reproj_p50,cameras it used,1.743009010739185,1.6163617167359163
20250829_124351,heldout_p50,a camera it never saw,2.4363318805464504,2.451433665037728
20250829_134647,reproj_p50,cameras it used,1.9034194363812553,1.7792084745966512
20250829_134647,heldout_p50,a camera it never saw,2.6263052591204685,2.6747768198253494
20250829_141847,reproj_p50,cameras it used,1.9184058413514826,1.7862858586809764
20250829_141847,heldout_p50,a camera it never saw,2.6817788689785678,2.717033022760088
20250829_144840,reproj_p50,cameras it used,1.8133572424470437,1.6848751942949716
20250829_144840,heldout_p50,a camera it never saw,2.5180268927747678,2.5488884137822554
20250829_151905,reproj_p50,cameras it used,1.8906977728601397,1.756939954796379
20250829_151905,heldout_p50,a camera it never saw,2.659397240437399,2.6805602805969326
20250829_155407,reproj_p50,cameras it used,1.7378352190390736,1.612629279204037
20250829_155407,heldout_p50,a camera it never saw,2.425242564049371,2.4363408966942304
20250829_162253,reproj_p50,cameras it used,1.7786966218327962,1.6581848768262688
20250829_162253,heldout_p50,a camera it never saw,2.4979215945929165,2.534221799246352
20250829_164919,reproj_p50,cameras it used,1.7062301066516325,1.5956615282107225
20250829_164919,heldout_p50,a camera it never saw,2.375930530427554,2.4202552580074035
20250829_171625,reproj_p50,cameras it used,1.9000837485979196,1.778447731387688
20250829_171625,heldout_p50,a camera it never saw,2.62311093647287,2.6673718886193054
20250903_141046,reproj_p50,cameras it used,2.488529215304154,2.3026108496948696
20250903_141046,heldout_p50,a camera it never saw,3.5765516794262853,3.427911488537023
20250903_143938,reproj_p50,cameras it used,2.6525007303269557,2.393021415638091
20250903_143938,heldout_p50,a camera it never saw,3.715319487828161,3.3763200531384556
20250903_150657,reproj_p50,cameras it used,2.439088157772629,2.251607542187301
20250903_150657,heldout_p50,a camera it never saw,3.4556337886582313,3.298612916332682
20250903_153433,reproj_p50,cameras it used,2.4483525813368816,2.2210229607557346
20250903_153433,heldout_p50,a camera it never saw,3.446253166154605,3.215201138921171
20250904_131913,reproj_p50,cameras it used,2.3424003999701712,2.167802043352988
20250904_131913,heldout_p50,a camera it never saw,3.297979483613649,3.195255954138594
20250904_140306,reproj_p50,cameras it used,2.587654301856422,2.3583003327467424
20250904_140306,heldout_p50,a camera it never saw,3.6489293011820862,3.4215655416325275
20250904_143552,reproj_p50,cameras it used,2.3202961286649053,2.1335819260379956
20250904_143552,heldout_p50,a camera it never saw,3.2874552375025137,3.1551758949669506
20250904_150414,reproj_p50,cameras it used,2.402408861094451,2.191777317960332
20250904_150414,heldout_p50,a camera it never saw,3.390300397442155,3.1967328044696277
20250904_153332,reproj_p50,cameras it used,2.3770119664734004,2.153600576813659
20250904_153332,heldout_p50,a camera it never saw,3.344352785783085,3.096269482327645
20250904_160014,reproj_p50,cameras it used,2.4152265605267313,2.208419918273902
20250904_160014,heldout_p50,a camera it never saw,3.417203645492764,3.2689465165092604
20250904_165017,reproj_p50,cameras it used,2.3999784058276843,2.180491392092656
20250904_165017,heldout_p50,a camera it never saw,3.375284998132916,3.159629333865322
20250904_174232,reproj_p50,cameras it used,2.4594404609723757,2.2696324793359546
20250904_174232,heldout_p50,a camera it never saw,3.4779638414726772,3.3282166151579156
20250904_181215,reproj_p50,cameras it used,2.5860999647157805,2.358734494603008
20250904_181215,heldout_p50,a camera it never saw,3.6391464942376905,3.4073383561391104
20250904_183921,reproj_p50,cameras it used,2.352825603308976,2.146899023194927
20250904_183921,heldout_p50,a camera it never saw,3.3363174753781797,3.125379293306133
20250905_165151,reproj_p50,cameras it used,2.22911595681916,2.0453234828226172
20250905_165151,heldout_p50,a camera it never saw,3.155039874318176,3.0189573281693374
20250905_171829,reproj_p50,cameras it used,2.2838250156939184,2.103694606039623
20250905_171829,heldout_p50,a camera it never saw,3.2207340237937223,3.1086924323982132
20250905_174513,reproj_p50,cameras it used,2.218541807300045,2.046795256650791
20250905_174513,heldout_p50,a camera it never saw,3.1557371805926975,3.0534725224579193
20250905_181402,reproj_p50,cameras it used,2.2629474437565147,2.082531639987814
20250905_181402,heldout_p50,a camera it never saw,3.2201104293408553,3.133733233206186
20250905_191445,reproj_p50,cameras it used,2.322027408368753,2.1217120907644174
20250905_191445,heldout_p50,a camera it never saw,3.3010352994018017,3.1173778433452686
20250905_194049,reproj_p50,cameras it used,2.3583928546498045,2.176306392106567
20250905_194049,heldout_p50,a camera it never saw,3.347224928532997,3.2312986682258495
20250905_200953,reproj_p50,cameras it used,2.3945810761770687,2.170977889957089
20250905_200953,heldout_p50,a camera it never saw,3.368340300024328,3.107107347927349
20250905_203607,reproj_p50,cameras it used,2.348055512284297,2.14923841082874
20250905_203607,heldout_p50,a camera it never saw,3.3400261496875054,3.203184093293352
20250905_210254,reproj_p50,cameras it used,2.3491652407867405,2.130219295829106
20250905_210254,heldout_p50,a camera it never saw,3.3381890236155645,3.099418990412993
20250905_213215,reproj_p50,cameras it used,2.3510877703160284,2.160633742670355
20250905_213215,heldout_p50,a camera it never saw,3.348508403684017,3.2084993505782315
20250907_143021,reproj_p50,cameras it used,2.35393512979429,2.1626656977242056
20250907_143021,heldout_p50,a camera it never saw,3.3533550834052304,3.251676846109494
20250907_151901,reproj_p50,cameras it used,2.550736174290707,2.354704535421015
20250907_151901,heldout_p50,a camera it never saw,3.642717131940508,3.5046750925949626
20250907_154801,reproj_p50,cameras it used,2.4190843795024635,2.2072640678292066
20250907_154801,heldout_p50,a camera it never saw,3.4471675735928122,3.232345116677949
20250907_161657,reproj_p50,cameras it used,2.405904434075302,2.21214000557471
20250907_161657,heldout_p50,a camera it never saw,3.402508115463556,3.2696312244418033
20250907_164826,reproj_p50,cameras it used,2.4471518359132713,2.2445449949998126
20250907_164826,heldout_p50,a camera it never saw,3.490603239370159,3.317325185694195
20250907_171538,reproj_p50,cameras it used,2.396632055408432,2.209358946506897
20250907_171538,heldout_p50,a camera it never saw,3.396644004236987,3.265847882908204
20250907_174343,reproj_p50,cameras it used,2.461843202816022,2.2810774664007334
20250907_174343,heldout_p50,a camera it never saw,3.513563205985336,3.4255275776482033
20250907_181225,reproj_p50,cameras it used,2.3608653908361115,2.1792397394718344
20250907_181225,heldout_p50,a camera it never saw,3.333519205108435,3.2474262611697853
20250907_183823,reproj_p50,cameras it used,2.4059157093209866,2.2031850694474415
20250907_183823,heldout_p50,a camera it never saw,3.4257686214726175,3.293661882141042
20250907_190610,reproj_p50,cameras it used,2.333151082589985,2.164354553467302
20250907_190610,heldout_p50,a camera it never saw,3.2883041391263506,3.233486659853325
