session,displays,male_id,female_id,male_lead,female_lead,female_share,male_share,L_male_mm,L_female_mm
20250827_162428,1,181321,181315,0.0,1.0,1.0,0.0,93.78852356526399,84.93673855530797
20250827_172440,1,181323,177397,0.0,1.0,1.0,0.0,87.08574345366009,96.36164813329606
20250904_181215,1,181321,181313,0.0,1.0,1.0,0.0,87.69474763525068,88.77737913768016
20250904_150414,1,178621,181312,0.0,1.0,1.0,0.0,88.28099125399507,90.48865289834426
20250905_203607,1,178621,181313,0.0,1.0,1.0,0.0,89.13821399835396,84.228100247642
20250905_191445,1,178621,164332,0.0,1.0,1.0,0.0,87.33059364745381,91.10641068589672
20250907_181225,2,178621,181315,0.0,2.0,1.0,0.0,79.98636455539976,83.0525125290539
20250829_134647,3,181322,181315,0.0,3.0,1.0,0.0,95.19078210846865,61.301548422261135
20250907_164826,3,181323,164332,1.0,2.0,0.6666666666666666,0.3333333333333333,80.87940528553528,77.54613180855225
20250908_164528,3,178621,181315,0.0,3.0,1.0,0.0,94.49451202485565,78.48192024397169
20250907_151901,4,181321,181312,0.0,4.0,1.0,0.0,83.06883212696809,77.21852897873876
20250905_165151,4,178621,181312,0.0,4.0,1.0,0.0,97.00406062611053,89.17169130006896
20250908_154926,4,178621,181313,2.0,2.0,0.5,0.5,97.60525554813808,81.59788739127353
20250907_183823,5,181321,164332,1.0,4.0,0.8,0.2,76.72951273982358,76.00769261000367
20250903_153433,6,181322,181312,2.0,4.0,0.6666666666666666,0.3333333333333333,91.0701960577029,89.57220292109174
20250829_141847,7,181323,181313,2.0,5.0,0.7142857142857143,0.2857142857142857,90.25766778972522,78.41104718918399
20250904_174232,7,181322,181315,1.0,6.0,0.8571428571428571,0.14285714285714285,96.95685303960862,77.02474879507756
20250908_173928,8,181321,181313,2.0,6.0,0.75,0.25,82.22491746926524,79.07309316004151
20250905_171829,8,181322,181315,1.0,7.0,0.875,0.125,98.22430989488936,76.64609461596278
20250903_143938,9,181322,164332,0.0,9.0,1.0,0.0,98.61971794163338,87.16164790810603
20250907_171538,9,181322,181315,1.0,8.0,0.8888888888888888,0.1111111111111111,92.476955849187,72.29732459273902
20250829_144840,9,181322,181312,1.0,8.0,0.8888888888888888,0.1111111111111111,90.14966446123255,86.59047452609083
20250907_174343,10,181322,181315,0.0,10.0,1.0,0.0,80.48192350509542,72.7657237374997
20250827_152238,11,181322,181312,0.0,11.0,1.0,0.0,98.31196894086813,88.23924930344216
20250907_161657,11,181322,181313,0.0,11.0,1.0,0.0,98.11640938177152,84.07252381422802
20250905_181402,14,181321,181313,2.0,12.0,0.8571428571428571,0.14285714285714285,84.3523567290735,82.31478317149305
20250903_150657,15,181323,181315,4.0,11.0,0.7333333333333333,0.26666666666666666,92.60923133710503,77.374144793985
20250908_171240,18,181322,164332,4.0,14.0,0.7777777777777778,0.2222222222222222,96.80571692816366,84.10094329639828
20250908_161812,23,181322,181312,3.0,20.0,0.8695652173913043,0.13043478260869565,97.31120825405367,85.03211903206478
20250907_154801,26,181321,181312,8.0,18.0,0.6923076923076923,0.3076923076923077,86.2826810827683,86.31349589890836
20250905_200953,29,181322,181312,3.0,26.0,0.896551724137931,0.10344827586206896,96.22205089472173,90.9664454301202
20250829_162253,31,181323,181312,3.0,28.0,0.9032258064516129,0.0967741935483871,88.14452089149083,88.83742613288712
20250905_210254,40,181323,181312,11.0,29.0,0.725,0.275,86.50938130023685,90.70236597757356
20250904_183921,42,181323,164332,12.0,30.0,0.7142857142857143,0.2857142857142857,87.85583428505592,84.18360229968638
20250905_174513,51,181323,164332,14.0,37.0,0.7254901960784313,0.27450980392156865,89.95841686269442,88.20772075027462
20250907_143021,57,181321,181312,12.0,45.0,0.7894736842105263,0.21052631578947367,82.41670955855517,80.04695345363575
20250904_140306,64,181323,181312,17.0,47.0,0.734375,0.265625,93.13856339150229,88.87733658580778
POOLED_ALL_SESSIONS,539,,,,432.0,0.8014842300556586,,,
N_SESSIONS_FEMALE_LEADER,37,,,,,0.972972972972973,,,
OBSERVED_MEDIAN_ge6,23,,,,,0.8571428571428571,0.14285714285714285,,
BODY_LENGTH_MM_MEDIAN,37,,,90.14966446123255,,84.18360229968638,,,
