identity,camera,reproj_px,mean_px
0,Camera0_mid,2.71,3.27
0,Camera1_topB,2.53,3.27
0,Camera2_topC,2.62,3.27
0,Camera3_sideC,3.11,3.27
0,Camera4_topR,3.71,3.27
0,Camera5_topL,3.33,3.27
0,Camera6_sideL,5.27,3.27
0,Camera7_sideR,2.87,3.27
1,Camera0_mid,3.03,3.19
1,Camera1_topB,3.03,3.19
1,Camera2_topC,2.87,3.19
1,Camera3_sideC,3.78,3.19
1,Camera4_topR,2.72,3.19
1,Camera5_topL,3.06,3.19
1,Camera6_sideL,2.63,3.19
1,Camera7_sideR,4.37,3.19
2,Camera0_mid,9.06,12.1
2,Camera1_topB,10.76,12.1
2,Camera2_topC,12.4,12.1
2,Camera3_sideC,12.03,12.1
2,Camera4_topR,16.84,12.1
2,Camera5_topL,9.25,12.1
2,Camera6_sideL,10.46,12.1
2,Camera7_sideR,16.03,12.1
