bin_left_s,bin_right_s,p_displays
0.0,0.0625,0.09461966604823747
0.0625,0.125,0.09276437847866419
0.125,0.1875,0.10946196660482375
0.1875,0.25,0.07792207792207792
0.25,0.3125,0.06679035250463822
0.3125,0.375,0.06493506493506493
0.375,0.4375,0.04081632653061224
0.4375,0.5,0.04638218923933209
0.5,0.5625,0.027829313543599257
0.5625,0.625,0.027829313543599257
0.625,0.6875,0.04081632653061224
0.6875,0.75,0.02411873840445269
0.75,0.8125,0.011131725417439703
0.8125,0.875,0.022263450834879406
0.875,0.9375,0.02040816326530612
0.9375,1.0,0.014842300556586271
1.0,1.0625,0.02040816326530612
1.0625,1.125,0.01855287569573284
1.125,1.1875,0.011131725417439703
1.1875,1.25,0.00927643784786642
1.25,1.3125,0.011131725417439703
1.3125,1.375,0.011131725417439703
1.375,1.4375,0.011131725417439703
1.4375,1.5,0.0055658627087198514
1.5,1.5625,0.0018552875695732839
1.5625,1.625,0.0055658627087198514
1.625,1.6875,0.016697588126159554
1.6875,1.75,0.0018552875695732839
1.75,1.8125,0.0037105751391465678
1.8125,1.875,0.0055658627087198514
1.875,1.9375,0.0018552875695732839
1.9375,2.0,0.0037105751391465678
