session,animals,frames,sleap_breaks,luc3d_lo,luc3d_hi
10072022131531,2,18036,10,8,28
10072022132603,2,19164,8,73,194
10072022133702,2,18010,2,16,37
10072022134804,2,18150,6,33,63
10072022135851,2,18017,2,3,3
10072022140918,2,18510,2,164,459
10072022142111,3,18219,31,49,124
10072022143153,3,18058,134,40,120
10072022144215,3,18082,96,92,217
10072022145420,4,18255,294,201,369
10072022150448,4,19142,88,23,70
10072022151549,4,18200,548,390,1011
10072022161055,2,18249,212,197,497
10072022162233,2,18086,14,22,61
10072022163346,2,18182,143,105,292
10072022170913,2,18099,4,47,96
10072022173152,2,30691,24,45,141
10072022180149,2,18247,16,156,517
10072022181300,2,18179,491,223,666
10072022183527,2,18029,86,54,185
10072022184618,2,18223,124,198,779
10072022190807,3,18221,56,41,51
10192022175658,2,9665,74,65,275
10192022180019,2,7265,38,23,29
10192022180303,2,7786,38,80,235
10192022180545,2,18115,119,48,126
10192022181152,2,18334,135,210,489
10192022183808,2,10844,148,72,307
10192022184226,2,15602,107,109,364
10212022175626,2,27105,142,203,741
10212022181154,2,41568,111,63,202
10302022030623,2,9492,50,75,269
10302022031312,2,9037,6,47,165
10302022031841,2,9013,6,61,199
10302022032406,2,10606,72,48,191
10302022033021,2,9842,154,56,215
10302022033652,2,9132,38,42,119
10302022034217,2,9758,10,23,91
10302022034810,2,9187,6,25,58
10302022035407,2,9042,117,72,135
10302022035936,2,9009,162,140,432
10302022040455,2,9660,49,67,231
