bin_left_bl,bin_right_bl,p_displays
0.0,0.0625,0.0
0.0625,0.125,0.0
0.125,0.1875,0.0
0.1875,0.25,0.0
0.25,0.3125,0.0
0.3125,0.375,0.03896103896103896
0.375,0.4375,0.07235621521335807
0.4375,0.5,0.12059369202226346
0.5,0.5625,0.17625231910946196
0.5625,0.625,0.17625231910946196
0.625,0.6875,0.21706864564007422
0.6875,0.75,0.08534322820037106
0.75,0.8125,0.04267161410018553
0.8125,0.875,0.022263450834879406
0.875,0.9375,0.011131725417439703
0.9375,1.0,0.014842300556586271
1.0,1.0625,0.0074211502782931356
1.0625,1.125,0.0018552875695732839
1.125,1.1875,0.0
1.1875,1.25,0.0018552875695732839
1.25,1.3125,0.0018552875695732839
1.3125,1.375,0.0018552875695732839
1.375,1.4375,0.0018552875695732839
1.4375,1.5,0.0
