session,displays,started_by_leader,leader_share,n
20250827_162428,1.0,1.0,1.0,
20250827_172440,1.0,1.0,1.0,
20250904_181215,1.0,1.0,1.0,
20250904_150414,1.0,1.0,1.0,
20250905_203607,1.0,1.0,1.0,
20250905_191445,1.0,1.0,1.0,
20250907_181225,2.0,2.0,1.0,
20250829_134647,3.0,3.0,1.0,
20250907_164826,3.0,2.0,0.6666666666666666,
20250908_164528,3.0,3.0,1.0,
20250907_151901,4.0,4.0,1.0,
20250905_165151,4.0,4.0,1.0,
20250908_154926,4.0,2.0,0.5,
20250907_183823,5.0,4.0,0.8,
20250903_153433,6.0,4.0,0.6666666666666666,
20250829_141847,7.0,5.0,0.7142857142857143,
20250904_174232,7.0,6.0,0.8571428571428571,
20250908_173928,8.0,6.0,0.75,
20250905_171829,8.0,7.0,0.875,
20250903_143938,9.0,9.0,1.0,
20250907_171538,9.0,8.0,0.8888888888888888,
20250829_144840,9.0,8.0,0.8888888888888888,
20250907_174343,10.0,10.0,1.0,
20250827_152238,11.0,11.0,1.0,
20250907_161657,11.0,11.0,1.0,
20250905_181402,14.0,12.0,0.8571428571428571,
20250903_150657,15.0,11.0,0.7333333333333333,
20250908_171240,18.0,14.0,0.7777777777777778,
20250908_161812,23.0,20.0,0.8695652173913043,
20250907_154801,26.0,18.0,0.6923076923076923,
20250905_200953,29.0,26.0,0.896551724137931,
20250829_162253,31.0,28.0,0.9032258064516129,
20250905_210254,40.0,29.0,0.725,
20250904_183921,42.0,30.0,0.7142857142857143,
20250905_174513,51.0,37.0,0.7254901960784313,
20250907_143021,57.0,45.0,0.7894736842105263,
20250904_140306,64.0,47.0,0.734375,
POOLED_ALL_SESSIONS,539.0,432.0,0.8014842300556586,37.0
OBSERVED_MEDIAN_ge6,,,0.8571428571428571,23.0
SURROGATE_MEDIAN_ge6,,,0.5714285714285714,2000.0
