arm,animals,mean,ci95_lo,ci95_hi,n_sessions,wins,luc3d_within_idf1,luc3d_within_switches
LUC3D pre-#131 (manuscript panel),1,0.14076929164350624,0.09931905931151282,0.1835570437621981,32,25,0.8269837686738292,0
LUC3D pre-#131 (manuscript panel),2,0.034964248326266247,0.007475172498085725,0.06297457808046347,35,23,0.7292724388774219,3206
LUC3D pre-#131 (manuscript panel),3,-0.03023384079716259,-0.07871153798503575,-0.00542908098910129,4,0,0.37277055737100806,205
LUC3D pre-#131 (manuscript panel),4,-0.0279369603762931,-0.050383917812857115,-0.0065915731141314715,3,0,0.3291715001861062,299
LUC3D (previous default),1,0.14168627659718175,0.10015908420154936,0.18445661101726818,32,25,0.8279007536275047,0
LUC3D (previous default),2,0.07483736551880203,0.051685116986182326,0.0991335104282233,35,30,0.7691455560699577,1744
LUC3D (previous default),3,-0.05185166795929416,-0.06783050704212898,-0.029441697445666732,4,0,0.3511527302088765,744
LUC3D (previous default),4,-0.07970428429946978,-0.15151225172983523,-0.021183282949610777,3,0,0.2774041762629295,606
LUC3D + fresh anchor (shipped),1,0.1417077800838507,0.10018331008752626,0.18448473014963182,32,25,0.8279222571141737,0
LUC3D + fresh anchor (shipped),2,0.08859578656605703,0.06621969030802664,0.11203813699539855,35,31,0.7829039771172127,1113
LUC3D + fresh anchor (shipped),3,-0.04261535700442133,-0.06993023978191354,-0.015300474226929123,4,0,0.3603890411637493,54
LUC3D + fresh anchor (shipped),4,-0.04093389102649745,-0.08434896004535597,-0.010623212824740408,3,0,0.31617456953590184,145
