arm,tracker,term,count,pct_of_camera_frames,camera_frames,fn_share
LUC3D (shipped),luc3d,false positives,37126,0.316595375998581,11726640,0.992995110859076
LUC3D (shipped),luc3d,ID switches,3094,0.02638436926519446,11726640,0.992995110859076
LUC3D + fresh anchor,luc3d,false positives,37132,0.3166465415498386,11726640,0.9932989717676219
LUC3D + fresh anchor,luc3d,ID switches,1312,0.011188200541672636,11726640,0.9932989717676219
SLEAP,sleap,false positives,62320,0.5314395257294502,11726640,0.9881746891569031
SLEAP,sleap,ID switches,3608,0.03076755148959975,11726640,0.9881746891569031
ByteTrack,bytetrack,false positives,51049,0.4353250376919561,11726640,0.9888677503715055
ByteTrack,bytetrack,ID switches,12305,0.10493201803756233,11726640,0.9888677503715055
LUC3D pre-#131 (what the manuscript panel plotted until 2026-08-13),luc3d,false positives,34240,0.2919847458436517,11726640,0.9933278303317361
LUC3D pre-#131 (what the manuscript panel plotted until 2026-08-13),luc3d,ID switches,3710,0.03163736586097979,11726640,0.9933278303317361
