tracker,difficulty,n_sessions,idf1_mean,idf1_median,idf1_p25,idf1_p75,idf1_sd
luc3d,1,12,0.9760156056601121,1.0,0.9708359964120669,1.0,0.047342373618772984
luc3d,2,13,0.934121477460937,0.9996752993694947,0.9994855781900928,0.9999580735469867,0.20359512971048724
luc3d,3,9,0.7280312743895558,0.8207172597295924,0.578907011243375,0.8892934464344513,0.2230678570159238
luc3d,4,13,0.8242148137602971,0.9988128567405933,0.8912116748938536,0.9995448477456791,0.30768179583488925
luc3d,5,10,0.7184155239659488,0.8054488347983623,0.6867042355351124,0.8759950185373677,0.2576479114594815
luc3d,6,4,0.48456565954560676,0.48688017365706304,0.155801432041423,0.8156444011612468,0.3869529545039707
luc3d,7,13,0.41572950976982004,0.35836117262594236,0.2772727870972271,0.4846749622044368,0.28035872464113193
sleap,1,12,0.9272279452521018,0.9997749558895729,0.8806544454531879,1.0,0.11083551925167182
sleap,2,13,0.8453030606483695,0.9401497989018337,0.783433031965231,0.9572187998721616,0.2189516452081439
sleap,3,9,0.5686254999313319,0.5845897102185388,0.44946746563237194,0.6514073649471721,0.1284202650561139
sleap,4,13,0.758474016478066,0.862931717966831,0.7493917207324748,0.9214835865794782,0.2431213523894336
sleap,5,10,0.5235187115316678,0.5379302387733105,0.4028785241930635,0.6895787227963135,0.22341061644347524
sleap,6,4,0.44426401599807147,0.4757813663403642,0.14927815402920813,0.7707672283092275,0.343499216455301
sleap,7,13,0.3720986834046788,0.3088992137979451,0.2594645410860234,0.46159693161669624,0.22939703233031367
bytetrack,1,12,0.922649044674599,0.9502704785841276,0.8542779247786985,0.9952376532670816,0.07839524292416918
bytetrack,2,13,0.6854816456452594,0.6884332512940066,0.6437557578243499,0.7469445063554359,0.19193364254032055
bytetrack,3,9,0.5473626714023413,0.572589107500714,0.4271724545240113,0.6143719420212819,0.1882347864022726
bytetrack,4,13,0.582080762689527,0.567928612551188,0.469605940101288,0.7400582529950602,0.22846254414563982
bytetrack,5,10,0.32938875033244924,0.35242902164735224,0.2586432105888527,0.43006175752352815,0.11393353146658936
bytetrack,6,4,0.15851123597227632,0.17662371055958748,0.09167268404457175,0.24346226248729202,0.10028710927767659
bytetrack,7,13,0.20172932775528735,0.17675118110619178,0.09630356246676272,0.315314298370371,0.12358191156917747
