config,label,idf1_cross,idf1_within,switches,switches_per_100k,n_sessions,sessions_higher_cross_idf1,sessions_lower_cross_idf1,worst_cross_idf1_delta,worst_switch_delta
sync_gate0_dist25,sync_gate0_dist25,0.3400788221158186,0.3401837084602928,1223,16.97345174501795,8,0.0,8.0,-0.596194275576232,224.0
sync_ambig400,M4 ambig 400,0.5861815543116756,0.5860218396559671,27042,375.3034195329317,8,2.0,6.0,-0.4128819857026179,5040.0
sync_ambig100,M4 ambig 100,0.6283902926518284,0.6290117284966457,1700,23.593514281709336,8,1.0,7.0,-0.3441583511800351,254.0
bundle_stale1,M2 + stale 1,0.648897329346574,0.6496936331930063,10815,150.0963864451097,8,2.0,6.0,-0.4158155125831897,3996.0
bundle_reid4,M3 re-id w=4,0.6565206339217371,0.6563959376427841,22976,318.87328478620805,8,4.0,4.0,-0.454674742510624,9320.0
bundle,M2 bundle,0.6852278904071514,0.6850900256715511,22882,317.56870223180766,8,3.0,5.0,-0.29889254507600316,9318.0
bundle_reid8_freeze_hyst,M3 re-id frozen + hyst,0.7109612566996254,0.7108260473545867,23108,320.70525177749374,8,3.0,5.0,-0.29889254507600316,9318.0
bundle_reid8,M3 re-id w=8,0.7202002554283767,0.7207373853621224,23742,329.50424475079,8,3.0,5.0,-0.1880710655109108,9404.0
sync_ambig20,M4 ambig 20,0.728385384337749,0.7282890255694037,336,4.6631887050907865,8,3.0,3.0,-0.32169050171553415,44.0
shipped,shipped,0.7347138492699747,0.73460462986156,324,4.496646251337544,8,,,,
sync_motion_base15,M1 + motion (15-frame base),0.7384609589091459,0.741391685858795,282,3.9137476632011956,8,3.0,3.0,-0.18833245896076745,4.0
sync_motion,M1 + motion,0.7458702406650748,0.7457058492349674,344,4.774217007592948,8,3.0,4.0,-0.32169050171553415,16.0
sync_smooth,M5 smooth anchor,0.7471706256676122,0.7483490495521874,2800,38.85990587575655,8,5.0,2.0,-0.29263582230847074,732.0
sync_robust25,M6 trimmed mean,0.7501135425183698,0.750005754881106,308,4.274589646333221,8,3.0,3.0,-0.14976315595413892,4.0
sync_xvrefine,M2' xv-refine,0.7515286675883834,0.7515649415661426,272,3.7749622850734936,8,3.0,4.0,-0.15965072888457033,10.0
sync_dist10,M1 + distThresh 10,0.7556403376253454,0.7557294071828223,250,3.4696344531925494,8,2.0,4.0,-0.15992913965538924,4.0
sync_dist25_robust25,M1 + M6 + distThresh 25,0.7568833908646209,0.7567864419923953,286,3.9692618144522767,8,3.0,3.0,-0.13924482004994487,14.0
dist25_corr36_robust25,M6 + dt25 + corr3d 36,0.7583141935581363,0.7582071953669696,286,3.9692618144522767,8,3.0,4.0,-0.08909510490186501,16.0
sync,M1 sync,0.7620190835905446,0.7619198843686039,296,4.108047192579979,8,2.0,4.0,-0.04036030414392189,20.0
dist25_robust25,M6 + distThresh 25,0.7633150515205454,0.7632105720177847,318,4.413375024460923,8,2.0,4.0,-0.04908144964708627,14.0
reidswap_dist25,reidswap_dist25,0.7637842972506579,0.7636281179764294,572,7.938523628904553,8,6.0,2.0,-0.41457165211526004,150.0
bundle_reid8_freeze,M3 re-id frozen w=8,0.7673126242863311,0.7671603499903805,25331,351.5572413352819,8,3.0,5.0,-0.2805274408388375,9536.0
bundle_reid4_freeze,M3 re-id frozen proto,0.7690809208242539,0.7689367765307424,23460,325.59049708758886,8,4.0,4.0,-0.1861645298608412,9368.0
dist25,distThresh 25,0.7949455012233863,0.7948291210218613,262,3.6361769069457917,8,4.0,2.0,-0.01051868413371504,0.0
sync_stale2,M1 + stale 2,0.8004070941142603,0.8002519946440162,108,1.4988820837791814,8,5.0,2.0,-0.0403584000109245,8.0
stale1,stale 1 (no M1),0.8041752927460062,0.8039980946848125,150,2.0817806719155296,8,6.0,1.0,-0.3186503109188761,18.0
sync_stale5,M1 + stale 5,0.808350909437257,0.8081975279822684,112,1.5543962350302623,8,5.0,2.0,-0.04035916166346021,0.0
dist25_corr36_motion15,motion(15) + dt25 + corr3d 36,0.8147394537191253,0.8146253091905031,230,3.1920636969371454,8,4.0,2.0,-0.0028613001003725547,4.0
sync_dist25,M1 + distThresh 25,0.8149517288283225,0.8148442768595094,244,3.3863632263159285,8,4.0,2.0,-0.13924687523988877,0.0
dist25_corr36,distThresh 25 + corr3d 36,0.8184576555229555,0.8183483621194715,252,3.4973915288180897,8,4.0,2.0,-0.023264264693508396,0.0
sync_dist25_corr36,M1 + distThresh 25 + corr3d 36,0.8211725041256537,0.8210627554790088,220,3.0532783188094434,8,4.0,2.0,-0.08909647002953058,4.0
sync_stale30,M1 + stale 30,0.8325630715120063,0.8323926747943127,114,1.5821533106558026,8,5.0,2.0,-0.04036030414392189,0.0
sync_stale1,M1 + stale 1,0.8340653538935503,0.8338935999915,118,1.6376674619068834,8,6.0,1.0,-0.0674516532403322,18.0
stale1_dist25_corr36,stale 1 + dt25 + corr3d 36 (no M1),0.8444180800239179,0.8442390073841443,130,1.8042099156601257,8,6.0,1.0,-0.3186503109188761,18.0
sync_stale30_dist25,M1 + stale 30 + distThresh 25,0.8547942980856436,0.8546085972405473,84,1.1657971762726966,8,5.0,2.0,-0.0403584000109245,0.0
sync_stale10_dist25,M1 + stale 10 + distThresh 25,0.8580608876239579,0.8578831858967015,64,0.8882264200172927,8,5.0,2.0,-0.04036030414392189,0.0
sync_stale1_dist25,M1 + stale 1 + distThresh 25,0.8745225657222913,0.8743408899700561,108,1.4988820837791814,8,6.0,1.0,-0.06745102170225492,18.0
