session,shipped__idf1,shipped__switches,dist25_corr36__idf1,dist25_corr36__switches,sync_stale1_dist25__idf1,sync_stale1_dist25__switches,sync_stale10_dist25__idf1,sync_stale10_dist25__switches
20250907_151901,0.48191050504430677,105,0.5521121068631271,79,0.8829212568019126,3,0.882920910599644,3
20250827_155244,0.4946329076177677,20,0.49463379476147107,20,0.9378944031003,0,0.5311285262023917,10
20250829_171625,0.5018314361104768,180,0.5018241488293791,178,0.6589611899049902,86,0.5751517833113622,60
20250907_183823,0.5366725978756826,14,0.5366717003259407,14,0.6596923314718818,24,0.7011690986982311,14
20250904_181215,0.5495815674385394,110,0.6741955438362747,110,0.6192054574964849,56,0.592645183977754,52
20250903_141046,0.5564044368948656,136,0.5331401722013572,124,0.8431982525438679,20,0.8874065176138951,0
20250904_174232,0.5687468998790677,44,0.6237511654417094,44,0.9349767735337953,14,0.9402994465865783,4
20250905_181402,0.5858530191053971,86,0.6163679194877454,66,0.9190659850450267,2,0.8393103816758148,12
20250829_144840,0.5871481547254637,64,0.7797864451028036,52,0.8785691607453875,10,0.9482079021073591,8
20250904_131913,0.5873080402993104,10,0.5873080402993104,10,0.8983514997161869,0,0.8983514997161869,0
20250904_150414,0.5968272711518885,12,0.7143671976799169,22,0.714403315593892,20,0.5968297757714244,10
20250905_171829,0.5996977226525577,12,0.5997009717692406,12,0.7843465847376098,10,0.8153745400039909,20
20250903_150657,0.6058616459307147,10,0.605860818684649,10,0.7208653063355794,20,0.605860818684649,10
20250907_174343,0.6200692738947834,220,0.5775303763465258,190,0.7493207684760207,20,0.6866348976039249,10
20250907_154801,0.6565130691753874,18,0.9116576461784521,2,0.9116614864971053,0,0.9116598418685873,0
20250829_151905,0.6789483823157642,41,0.6789491465416803,41,0.6004515756554095,11,0.9583714781322918,1
20250905_210254,0.682845001967896,48,0.682845001967896,48,0.7092079923352683,26,0.709209123804359,26
20250907_171538,0.7071602855825113,90,0.7076300302546762,68,0.8740999750843542,32,0.9137419125784761,0
20250829_141847,0.7172915286992011,88,0.5903001688464902,104,0.6545316574213731,26,0.5793325104984127,36
20250829_155407,0.7201458057745673,12,0.9660963705481745,2,0.9660948874955246,2,0.9660954807170952,2
20250905_200953,0.7256618840891975,32,0.7256640894846068,32,0.6480131159040721,20,0.9613097950805959,0
20250905_165151,0.7282424394403512,20,0.9548212204809539,0,0.9548221305328073,0,0.6878821352964293,10
20250829_134647,0.7441897203491885,34,0.6614723903714259,42,0.6488201555799595,10,0.7712025653095895,20
20250903_153433,0.7518860097600548,106,0.7883201866563176,98,0.9314351675969491,22,0.9314360643396755,22
20250907_190610,0.7581865914797749,10,0.7898854253470302,20,0.8934896024576652,0,0.8934896024576652,0
20250827_172440,0.7626643953200605,28,0.6766557371396058,26,0.6142900617175213,10,0.9600408060634362,0
20250907_164826,0.7639797657917348,24,0.7639750085556023,24,0.8718226566075084,14,0.8718131517021863,14
20250905_213215,0.7797749732110966,12,0.9281273914698698,0,0.9281273914698698,0,0.9281273914698698,0
20250904_140306,0.7825976465454877,66,0.7152704688702474,50,0.8459502702676784,26,0.8459490480600084,22
20250905_191445,0.7865798032126081,32,0.7865794446214287,32,0.8682729421165754,22,0.6908198112683416,34
20250905_174513,0.7915902389807368,25,0.7915898816465863,23,0.9350856420998844,9,0.9350837526931386,9
20250907_143021,0.7985761873153742,34,0.8946481726697757,4,0.8445070026989233,10,0.8946545787893931,0
20250904_183921,0.8033971421030078,84,0.7659870278061378,46,0.7506838093699525,14,0.9037384917512957,4
20250905_194049,0.8039027087974236,30,0.8039034216023099,30,0.9269638213019754,0,0.9269631818298298,0
20250907_161657,0.8057158736960482,44,0.7550801027242723,36,0.8639213357285899,10,0.7377725564825717,10
20250905_203607,0.8073627187619923,20,0.8073627187619923,20,0.9283988034041581,0,0.9283988034041581,0
20250907_181225,0.8320766681834095,26,0.8320817437180292,24,0.8712071344032928,26,0.9141039805663641,4
20250829_162253,0.8324154297686978,50,0.7185537947866074,66,0.634632159050118,26,0.7095519912240369,48
20250904_165017,0.8547565857104298,42,0.7415942051457873,32,0.6394330607369292,32,0.9569307591696327,22
20250827_165542,0.9267568828967266,0,0.9267568828967266,0,0.9267541351212082,2,0.9267541351212082,2
20250827_162428,0.9303154078948609,20,0.9303154078948609,20,0.9303157230447506,20,0.9164556454832333,10
20250904_160014,0.9390539883626722,4,0.9390539883626722,4,0.9390548542549472,0,0.9390548542549472,0
20250904_143552,0.9424287989820629,0,0.9424287989820629,0,0.9424287989820629,0,0.9424287989820629,0
20250827_152238,0.9612344067932527,0,0.9612350060691094,0,0.9612347064312675,0,0.9612347064312675,0
20250827_145223,0.9651897716492205,6,0.6901596542695306,14,0.9651918115608081,2,0.9651918115608081,2
20250903_143938,0.9660763078509674,0,0.9660736362242587,0,0.9660769015439166,0,0.9660763078509674,0
20250827_141755,0.9664101702994012,2,0.9664095774504088,2,0.8989591485971463,20,0.9664095581835207,0
20250829_124351,0.9710421466973886,0,0.9710421466973886,0,0.9710421466973886,0,0.9710421466973886,0
20250904_153332,0.972392042808485,0,0.972392042808485,0,0.972392042808485,0,0.972392042808485,0
20250829_164919,0.9727859895696503,0,0.9727859895696503,0,0.9727859895696503,0,0.9727851105390949,0
