dataset,cell,n,idf1_mean,idf1_median,idf1_min,acc_mean,sw100k_mean,sw100k_max
bedding,C1_sigma0,6,0.9950,1.0000,0.9697,0.9950,0.031,0.185
soc1,C1_sigma0,14,0.9749,1.0000,0.6482,0.9749,0.027,0.187
soc3,C1_sigma0,15,0.9982,1.0000,0.9724,0.9982,0.012,0.187
triads,C1_sigma0,6,0.9654,1.0000,0.7922,0.9654,0.031,0.185
bedding,C1_sigma1,6,0.9950,1.0000,0.9697,0.9950,0.031,0.185
soc1,C1_sigma1,14,0.9749,1.0000,0.6482,0.9749,0.027,0.187
soc3,C1_sigma1,15,0.9982,1.0000,0.9724,0.9982,0.025,0.187
triads,C1_sigma1,6,0.9654,1.0000,0.7922,0.9654,0.031,0.185
bedding,C1_sigma10,6,0.9349,0.9847,0.7923,0.9349,0.401,1.667
soc1,C1_sigma10,14,0.9279,1.0000,0.5885,0.9279,0.428,2.247
soc3,C1_sigma10,15,0.9790,1.0000,0.8672,0.9790,2.684,24.906
triads,C1_sigma10,6,0.9655,1.0000,0.7932,0.9655,0.123,0.741
bedding,C1_sigma2,6,0.9950,1.0000,0.9697,0.9950,0.031,0.185
soc1,C1_sigma2,14,0.9842,1.0000,0.7790,0.9842,0.053,0.375
soc3,C1_sigma2,15,0.9981,1.0000,0.9724,0.9981,0.100,0.749
triads,C1_sigma2,6,0.9654,1.0000,0.7922,0.9654,0.031,0.185
bedding,C1_sigma20,6,0.8840,0.9177,0.7335,0.8840,1.636,5.185
soc1,C1_sigma20,14,0.9120,0.9998,0.5848,0.9120,2.087,14.045
soc3,C1_sigma20,15,0.9595,0.9994,0.7919,0.9595,4.469,32.959
triads,C1_sigma20,6,0.9833,1.0000,0.8998,0.9833,0.494,2.963
bedding,C1_sigma3,6,0.9950,1.0000,0.9697,0.9950,0.031,0.185
soc1,C1_sigma3,14,0.9591,1.0000,0.6482,0.9591,0.027,0.187
soc3,C1_sigma3,15,0.9634,1.0000,0.5020,0.9634,0.387,3.558
triads,C1_sigma3,6,0.9654,1.0000,0.7922,0.9654,0.031,0.185
