dataset,sigma_px,idf1_mean,idf1_median,idf1_min,n
bedding,0,0.9950,1.0000,0.9697,6
bedding,1,0.9950,1.0000,0.9697,6
bedding,10,0.9349,0.9847,0.7923,6
bedding,2,0.9950,1.0000,0.9697,6
bedding,20,0.8840,0.9177,0.7335,6
bedding,3,0.9950,1.0000,0.9697,6
bedding,5,0.9950,1.0000,0.9697,6
soc1,0,0.9749,1.0000,0.6482,14
soc1,1,0.9749,1.0000,0.6482,14
soc1,10,0.9279,1.0000,0.5885,14
soc1,2,0.9842,1.0000,0.7790,14
soc1,20,0.9120,0.9998,0.5848,14
soc1,3,0.9591,1.0000,0.6482,14
soc1,5,0.9842,1.0000,0.7790,14
soc3,0,0.9982,1.0000,0.9724,15
soc3,1,0.9982,1.0000,0.9724,15
soc3,10,0.9790,1.0000,0.8672,15
soc3,2,0.9981,1.0000,0.9724,15
soc3,20,0.9595,0.9994,0.7919,15
soc3,3,0.9634,1.0000,0.5020,15
soc3,5,0.9874,1.0000,0.8887,15
triads,0,0.9654,1.0000,0.7922,6
triads,1,0.9654,1.0000,0.7922,6
triads,10,0.9655,1.0000,0.7932,6
triads,2,0.9654,1.0000,0.7922,6
triads,20,0.9833,1.0000,0.8998,6
triads,3,0.9654,1.0000,0.7922,6
triads,5,0.9654,1.0000,0.7922,6
