dataset,kind,rate,idf1_mean,idf1_median,idf1_min,sw100k_mean,n
bedding,instance,0.1,0.8846,1.0000,0.5153,0.137,6
bedding,instance,0.25,0.8778,0.9995,0.5680,1.028,6
bedding,instance,0.5,0.7583,0.7578,0.5410,7.465,6
bedding,node,0.25,0.9670,1.0000,0.8320,0.092,6
bedding,node,0.5,0.8328,0.8530,0.5154,1.389,6
bedding,occlusion,0.25,0.8867,0.9420,0.6515,0.643,6
bedding,occlusion,0.5,0.7601,0.7562,0.5066,4.177,6
soc1,instance,0.1,1.0000,1.0000,0.9997,0.059,14
soc1,instance,0.25,0.9015,0.9994,0.5005,0.945,14
soc1,instance,0.5,0.8328,0.8942,0.5160,6.475,14
soc1,node,0.25,0.9223,1.0000,0.5617,0.187,14
soc1,node,0.5,0.8504,0.9993,0.5013,1.324,14
soc1,occlusion,0.25,0.9351,0.9999,0.5041,0.461,14
soc1,occlusion,0.5,0.9216,0.9980,0.6132,2.948,14
soc3,instance,0.1,0.9981,1.0000,0.9724,0.444,15
soc3,instance,0.25,0.9375,0.9995,0.7006,1.465,15
soc3,instance,0.5,0.9186,0.9815,0.5793,9.444,15
soc3,node,0.25,0.9647,1.0000,0.5247,0.662,15
soc3,node,0.5,0.8627,0.9992,0.5385,3.508,15
soc3,occlusion,0.25,0.9610,0.9999,0.5720,1.107,15
soc3,occlusion,0.5,0.9290,0.9645,0.7737,4.062,15
triads,instance,0.1,0.9653,1.0000,0.7920,0.034,6
triads,instance,0.25,0.9489,0.9995,0.7915,0.247,6
triads,instance,0.5,0.9318,0.9839,0.7805,4.073,6
triads,node,0.25,1.0000,1.0000,1.0000,0.062,6
triads,node,0.5,0.9819,1.0000,0.8916,0.247,6
triads,occlusion,0.25,0.9652,1.0000,0.7914,0.222,6
triads,occlusion,0.5,0.9061,0.9990,0.6029,1.614,6
