dataset,input,sigma,idf1_mean,idf1_min,n
bedding,keypoints,0,0.9950,0.9697,6
bedding,keypoints,3,0.9950,0.9697,6
bedding,com,0,1.0000,1.0000,6
bedding,com,3,0.9999,0.9996,6
bedding,com_used,0,1.0000,1.0000,6
bedding,com_used,3,0.9999,0.9996,6
soc1,keypoints,0,0.9749,0.6482,14
soc1,keypoints,3,0.9591,0.6482,14
soc1,com,0,0.7565,0.5160,14
soc1,com,3,0.7726,0.5595,14
soc1,com_used,0,0.9751,0.6521,14
soc1,com_used,3,0.9998,0.9996,14
soc3,keypoints,0,0.9982,0.9724,15
soc3,keypoints,3,0.9634,0.5020,15
soc3,com,0,0.8999,0.5341,15
soc3,com,3,0.9158,0.5117,15
soc3,com_used,0,1.0000,1.0000,15
soc3,com_used,3,0.9901,0.8825,15
triads,keypoints,0,0.9654,0.7922,6
triads,keypoints,3,0.9654,0.7922,6
triads,com,0,0.9387,0.7994,6
triads,com,3,0.7996,0.6137,6
triads,com_used,0,1.0000,1.0000,6
triads,com_used,3,0.9653,0.7921,6
