dataset,session_name,cell,idf1,accuracy,grouping_accuracy,frames_perfectly_grouped,switches,sw_per_100k,coverage,n_gt_dets,identities,animals,frames,runtimeSeconds,fps
bedding,2024_05_05_F1_F2,C1_sigma0,1.0,1.0,,,0,0.0,1.0,1080000,2,2,90000,87.146,1032.7
bedding,2024_05_05_F1_F2,C1_sigma1,1.0,1.0,,,0,0.0,1.0,1080000,2,2,90000,85.947,1047.2
bedding,2024_05_05_F1_F2,C1_sigma10,0.792337,0.792337,,,4,0.37,1.0,1080000,2,2,90000,87.906,1023.8
bedding,2024_05_05_F1_F2,C1_sigma2,1.0,1.0,,,0,0.0,1.0,1080000,2,2,90000,84.746,1062.0
bedding,2024_05_05_F1_F2,C1_sigma20,0.735439,0.735439,,,22,2.037,1.0,1080000,2,2,90000,90.077,999.1
bedding,2024_05_05_F1_F2,C1_sigma3,0.999998,0.999998,,,0,0.0,1.0,1080000,2,2,90000,83.622,1076.3
bedding,2024_05_05_F1_F2,C1_sigma5,0.999994,0.999994,,,0,0.0,1.0,1080000,2,2,90000,88.772,1013.8
bedding,2024_05_05_F1_F2,C2_drop0.1,0.792555,0.792558,,,2,0.206,0.999992,972139,2,2,90000,81.491,1104.4
bedding,2024_05_05_F1_F2,C2_drop0.25,0.700617,0.700962,,,28,3.452,0.999016,811016,2,2,90000,78.367,1148.4
bedding,2024_05_05_F1_F2,C2_drop0.5,0.779274,0.791796,,,71,13.149,0.968862,539954,2,2,90000,65.546,1372.7
bedding,2024_05_05_F1_F2,C2b_nodedrop0.25,0.83198,0.83198,,,2,0.185,1.0,1080000,2,2,90000,80.846,1113.2
bedding,2024_05_05_F1_F2,C2b_nodedrop0.5,0.775377,0.775377,,,12,1.111,1.0,1079999,2,2,90000,67.866,1326.1
bedding,2024_05_05_F1_F2,C3_occl0.25,0.78464,0.784713,,,10,0.983,0.999814,1017154,2,2,90000,83.378,1079.4
bedding,2024_05_05_F1_F2,C3_occl0.5,0.668908,0.670335,,,92,9.644,0.995751,953956,2,2,90000,78.826,1141.7
bedding,2024_05_05_F1_F2,C4_com_sigma0,0.999996,0.999996,,,0,0.0,1.0,1080000,2,2,90000,23.571,3818.3
bedding,2024_05_05_F1_F2,C4_com_sigma3,0.999576,0.999576,,,2,0.185,1.0,1080000,2,2,90000,24.744,3637.2
bedding,2024_05_05_F1_F2,C4u_comused_sigma0,0.999996,0.999996,0.999996,0.999978,0,0.0,1.0,1080000,2,2,90000,18.092,4974.6
bedding,2024_05_05_F1_F2,C4u_comused_sigma3,0.99955,0.99955,0.99955,0.997356,2,0.185,1.0,1080000,2,2,90000,19.191,4689.7
bedding,2024_05_05_F1_F2,C7_cams2,0.782811,0.782811,0.990478,0.980956,2,0.556,1.0,360000,2,2,90000,41.746,2155.9
bedding,2024_05_05_F1_F2,C7_cams3,1.0,1.0,1.0,1.0,0,0.0,1.0,540000,2,2,90000,57.894,1554.6
bedding,2024_05_05_F1_F2,C7_cams4,0.999994,0.999994,0.999994,0.999978,0,0.0,1.0,720000,2,2,90000,64.742,1390.1
bedding,2024_05_05_F1_F2,C7_cams5,1.0,1.0,1.0,1.0,0,0.0,1.0,900000,2,2,90000,64.912,1386.5
bedding,2024_05_05_F1_F2,C7b_cams2_sigma10,0.866972,0.866972,0.998172,0.996344,14,3.889,1.0,360000,2,2,90000,40.914,2199.7
bedding,2024_05_05_F1_F2,C7b_cams3_sigma10,0.868944,0.868944,0.999778,0.999333,2,0.37,1.0,540000,2,2,90000,58,1551.7
