328 cells, 12 workers
[1/328] OK triads/2023_03_01_M12_M13_M14/C7b_cams2_sigma10 idf1=0.792594 acc=0.792594 sw=12
[2/328] OK triads/2023_03_01_M15_M16_M14/C7_cams2 idf1=1.0 acc=1.0 sw=0
[3/328] OK triads/2023_03_01_M12_M13_M14/C7_cams2 idf1=0.999728 acc=0.999728 sw=2
[4/328] OK triads/2023_03_01_M15_M16_M14/C7b_cams2_sigma10 idf1=1.0 acc=1.0 sw=0
[5/328] OK triads/2023_03_01_M15_M16_M14/C7b_cams3_sigma10 idf1=1.0 acc=1.0 sw=0
[6/328] SKIP triads/2023_03_01_M1_M2_M3/C7_cams2
[7/328] OK triads/2023_03_01_M15_M16_M14/C7_cams3 idf1=1.0 acc=1.0 sw=0
[8/328] OK triads/2023_03_01_M12_M13_M14/C7_cams3 idf1=0.999907 acc=0.999907 sw=4
[9/328] OK triads/2023_03_01_M12_M13_M14/C7b_cams3_sigma10 idf1=0.609969 acc=0.609969 sw=12
[10/328] OK triads/2023_03_01_M12_M13_M14/C7_cams4 idf1=0.7922 acc=0.7922 sw=2
[11/328] OK triads/2023_03_01_M12_M13_M14/C7b_cams4_sigma10 idf1=0.999872 acc=0.999872 sw=6
[12/328] OK triads/2023_03_01_M12_M13_M14/C7b_cams5_sigma10 idf1=0.999858 acc=0.999858 sw=8
[13/328] OK triads/2023_03_01_M12_M13_M14/C7_cams5 idf1=0.792202 acc=0.792202 sw=2
[14/328] OK triads/2023_03_01_M1_M2_M3/C7b_cams2_sigma10 idf1=1.0 acc=1.0 sw=0
[15/328] OK triads/2023_03_01_M15_M16_M14/C7b_cams4_sigma10 idf1=1.0 acc=1.0 sw=0
[16/328] OK triads/2023_03_01_M15_M16_M14/C7_cams4 idf1=1.0 acc=1.0 sw=0
[17/328] OK triads/2023_03_01_M1_M2_M3/C7_cams3 idf1=1.0 acc=1.0 sw=0
[18/328] OK triads/2023_03_01_M1_M2_M3/C7b_cams3_sigma10 idf1=1.0 acc=1.0 sw=0
[19/328] OK triads/2023_03_01_M15_M16_M14/C7b_cams5_sigma10 idf1=1.0 acc=1.0 sw=0
[20/328] OK triads/2023_03_01_M15_M16_M14/C7_cams5 idf1=1.0 acc=1.0 sw=0
[21/328] OK triads/2023_03_01_M4_M5_M6/C7_cams2 idf1=1.0 acc=1.0 sw=0
[22/328] OK triads/2023_03_01_M1_M2_M3/C7_cams4 idf1=1.0 acc=1.0 sw=0
[23/328] OK triads/2023_03_01_M1_M2_M3/C7b_cams4_sigma10 idf1=1.0 acc=1.0 sw=0
[24/328] OK triads/2023_03_01_M1_M2_M3/C7_cams5 idf1=1.0 acc=1.0 sw=0
[25/328] OK triads/2023_03_01_M1_M2_M3/C7b_cams5_sigma10 idf1=1.0 acc=1.0 sw=0
[26/328] OK triads/2023_03_01_M4_M5_M6/C7b_cams2_sigma10 idf1=1.0 acc=1.0 sw=0
[27/328] OK triads/2023_03_01_M7_M8_M6/C7_cams2 idf1=1.0 acc=1.0 sw=0
[28/328] OK triads/2023_03_01_M4_M5_M6/C7_cams3 idf1=1.0 acc=1.0 sw=0
[29/328] OK triads/2023_03_01_M7_M8_M6/C7b_cams2_sigma10 idf1=1.0 acc=1.0 sw=0
[30/328] OK triads/2023_03_01_M4_M5_M6/C7b_cams3_sigma10 idf1=1.0 acc=1.0 sw=0
[31/328] OK triads/2023_03_01_M4_M5_M6/C7_cams4 idf1=1.0 acc=1.0 sw=0
[32/328] OK triads/2023_03_01_M4_M5_M6/C7b_cams4_sigma10 idf1=1.0 acc=1.0 sw=0
[33/328] OK triads/2023_03_01_M7_M8_M6/C7_cams3 idf1=1.0 acc=1.0 sw=0
[34/328] OK triads/2023_03_01_M4_M5_M6/C7b_cams5_sigma10 idf1=1.0 acc=1.0 sw=0
[35/328] OK triads/2023_03_01_M4_M5_M6/C7_cams5 idf1=1.0 acc=1.0 sw=0
[36/328] OK triads/2023_03_01_M7_M8_M6/C7b_cams3_sigma10 idf1=1.0 acc=1.0 sw=0
[37/328] OK triads/2023_03_01_M7_M8_M6/C7_cams4 idf1=1.0 acc=1.0 sw=0
[38/328] OK triads/2023_03_01_M7_M8_M6/C7b_cams4_sigma10 idf1=1.0 acc=1.0 sw=0
[39/328] OK triads/2023_03_15_M2_M3_M4/C7b_cams2_sigma10 idf1=0.943867 acc=0.943867 sw=2
[40/328] OK triads/2023_03_15_M2_M3_M4/C7_cams2 idf1=1.0 acc=1.0 sw=0
[41/328] OK triads/2023_03_15_M2_M3_M4/C7_cams3 idf1=1.0 acc=1.0 sw=0
[42/328] OK triads/2023_03_15_M2_M3_M4/C7b_cams3_sigma10 idf1=1.0 acc=1.0 sw=0
[43/328] OK triads/2023_03_01_M7_M8_M6/C7_cams5 idf1=1.0 acc=1.0 sw=0
[44/328] OK triads/2023_03_01_M7_M8_M6/C7b_cams5_sigma10 idf1=1.0 acc=1.0 sw=0
[45/328] OK triads/2023_03_15_M2_M3_M4/C7_cams4 idf1=1.0 acc=1.0 sw=0
[46/328] OK bedding/2024_05_05_F1_F2/C7_cams2 idf1=0.782811 acc=0.782811 sw=2
[47/328] OK triads/2023_03_15_M2_M3_M4/C7b_cams4_sigma10 idf1=0.999997 acc=0.999997 sw=0
[48/328] OK bedding/2024_05_05_F1_F2/C7b_cams2_sigma10 idf1=0.866972 acc=0.866972 sw=14
[49/328] OK triads/2023_03_15_M2_M3_M4/C7_cams5 idf1=1.0 acc=1.0 sw=0
[50/328] OK triads/2023_03_15_M2_M3_M4/C7b_cams5_sigma10 idf1=0.999998 acc=0.999998 sw=0
[51/328] OK bedding/2024_05_05_F1_F2/C7_cams3 idf1=1.0 acc=1.0 sw=0
[52/328] OK bedding/2024_05_05_F1_F2/C7b_cams3_sigma10 idf1=0.868944 acc=0.868944 sw=2
[53/328] OK bedding/2024_05_05_F5_F3/C7_cams2 idf1=1.0 acc=1.0 sw=0
[54/328] OK bedding/2024_05_05_F1_F2/C7_cams4 idf1=0.999994 acc=0.999994 sw=0
[55/328] OK bedding/2024_05_05_F5_F3/C7b_cams2_sigma10 idf1=0.638128 acc=0.638128 sw=24
[56/328] OK bedding/2024_05_05_F1_F2/C7b_cams4_sigma10 idf1=0.999958 acc=0.999958 sw=2
[57/328] OK bedding/2024_05_05_F1_F2/C7_cams5 idf1=1.0 acc=1.0 sw=0
[58/328] OK bedding/2024_05_05_F1_F2/C7b_cams5_sigma10 idf1=0.792336 acc=0.792336 sw=6
[59/328] OK bedding/2024_05_05_F5_F3/C7_cams3 idf1=0.878622 acc=0.878622 sw=2
