369 cells, 12 workers
[1/369] OK triads/2023_03_01_M15_M16_M14/C7d_cams2_drop25 idf1=0.857687 acc=0.999488 sw=71
[2/369] OK triads/2023_03_01_M12_M13_M14/C7d_cams2_drop25 idf1=0.679983 acc=0.793119 sw=46
[3/369] OK triads/2023_03_01_M12_M13_M14/C7c_cams2_sigma0 idf1=0.7922 acc=0.7922 sw=2
[4/369] OK triads/2023_03_01_M15_M16_M14/C7c_cams2_sigma0 idf1=1.0 acc=1.0 sw=0
[5/369] OK triads/2023_03_01_M12_M13_M14/C7d_cams3_drop25 idf1=0.768133 acc=0.793677 sw=213
[6/369] OK triads/2023_03_01_M12_M13_M14/C7d_cams4_drop25 idf1=0.991477 acc=0.999405 sw=87
[7/369] OK triads/2023_03_01_M15_M16_M14/C7c_cams3_sigma0 idf1=1.0 acc=1.0 sw=0
[8/369] OK triads/2023_03_01_M12_M13_M14/C7c_cams3_sigma0 idf1=0.792204 acc=0.792204 sw=2
[9/369] OK triads/2023_03_01_M12_M13_M14/C7d_cams5_drop25 idf1=0.997841 acc=0.999818 sw=16
[10/369] OK triads/2023_03_01_M12_M13_M14/C7c_cams4_sigma0 idf1=0.7922 acc=0.7922 sw=2
[11/369] OK triads/2023_03_01_M12_M13_M14/C7d_cams6_drop25 idf1=0.998942 acc=0.999413 sw=8
[12/369] OK triads/2023_03_01_M12_M13_M14/C7c_cams5_sigma0 idf1=0.792202 acc=0.792202 sw=2
[13/369] OK triads/2023_03_01_M15_M16_M14/C7d_cams3_drop25 idf1=0.96793 acc=0.999997 sw=2
[14/369] OK triads/2023_03_01_M1_M2_M3/C7d_cams2_drop25 idf1=0.67987 acc=0.793029 sw=322
[15/369] OK triads/2023_03_01_M1_M2_M3/C7c_cams2_sigma0 idf1=1.0 acc=1.0 sw=0
[16/369] OK triads/2023_03_01_M15_M16_M14/C7d_cams4_drop25 idf1=0.992002 acc=0.999942 sw=6
[17/369] OK triads/2023_03_01_M15_M16_M14/C7c_cams4_sigma0 idf1=1.0 acc=1.0 sw=0
[18/369] OK triads/2023_03_01_M15_M16_M14/C7d_cams5_drop25 idf1=0.998121 acc=0.99999 sw=0
[19/369] OK triads/2023_03_01_M1_M2_M3/C7d_cams3_drop25 idf1=0.967541 acc=0.999958 sw=5
[20/369] OK triads/2023_03_01_M15_M16_M14/C7c_cams5_sigma0 idf1=1.0 acc=1.0 sw=0
[21/369] OK triads/2023_03_01_M1_M2_M3/C7c_cams3_sigma0 idf1=1.0 acc=1.0 sw=0
[22/369] OK triads/2023_03_01_M15_M16_M14/C7d_cams6_drop25 idf1=0.999511 acc=0.99999 sw=1
[23/369] OK triads/2023_03_01_M1_M2_M3/C7d_cams4_drop25 idf1=0.854912 acc=0.86152 sw=8
[24/369] OK triads/2023_03_01_M1_M2_M3/C7c_cams4_sigma0 idf1=1.0 acc=1.0 sw=0
[25/369] OK triads/2023_03_01_M4_M5_M6/C7d_cams2_drop25 idf1=0.857501 acc=1.0 sw=0
[26/369] OK triads/2023_03_01_M4_M5_M6/C7c_cams2_sigma0 idf1=1.0 acc=1.0 sw=0
[27/369] OK triads/2023_03_01_M1_M2_M3/C7d_cams5_drop25 idf1=0.998001 acc=0.999979 sw=3
[28/369] OK triads/2023_03_01_M1_M2_M3/C7c_cams5_sigma0 idf1=1.0 acc=1.0 sw=0
[29/369] OK triads/2023_03_01_M4_M5_M6/C7d_cams3_drop25 idf1=0.967992 acc=0.999992 sw=2
[30/369] OK triads/2023_03_01_M4_M5_M6/C7c_cams3_sigma0 idf1=1.0 acc=1.0 sw=0
[31/369] OK triads/2023_03_01_M1_M2_M3/C7d_cams6_drop25 idf1=0.86105 acc=0.861465 sw=6
[32/369] OK triads/2023_03_01_M4_M5_M6/C7d_cams4_drop25 idf1=0.992025 acc=0.999998 sw=1
[33/369] OK triads/2023_03_01_M4_M5_M6/C7c_cams4_sigma0 idf1=1.0 acc=1.0 sw=0
[34/369] OK triads/2023_03_01_M7_M8_M6/C7d_cams2_drop25 idf1=0.854847 acc=0.997969 sw=246
[35/369] OK triads/2023_03_01_M7_M8_M6/C7c_cams2_sigma0 idf1=1.0 acc=1.0 sw=0
[36/369] OK triads/2023_03_01_M4_M5_M6/C7d_cams5_drop25 idf1=0.998072 acc=0.999997 sw=0
[37/369] OK triads/2023_03_01_M4_M5_M6/C7c_cams5_sigma0 idf1=1.0 acc=1.0 sw=0
[38/369] OK triads/2023_03_01_M4_M5_M6/C7d_cams6_drop25 idf1=0.999529 acc=0.999999 sw=0
[39/369] OK triads/2023_03_01_M7_M8_M6/C7d_cams3_drop25 idf1=0.967376 acc=1.0 sw=0
[40/369] OK triads/2023_03_01_M7_M8_M6/C7c_cams3_sigma0 idf1=1.0 acc=1.0 sw=0
[41/369] OK triads/2023_03_15_M2_M3_M4/C7d_cams2_drop25 idf1=0.85743 acc=0.999995 sw=2
[42/369] OK triads/2023_03_01_M7_M8_M6/C7c_cams4_sigma0 idf1=1.0 acc=1.0 sw=0
[43/369] OK triads/2023_03_01_M7_M8_M6/C7d_cams4_drop25 idf1=0.992122 acc=0.999998 sw=0
[44/369] OK triads/2023_03_15_M2_M3_M4/C7c_cams2_sigma0 idf1=1.0 acc=1.0 sw=0
[45/369] OK triads/2023_03_01_M7_M8_M6/C7d_cams5_drop25 idf1=0.998032 acc=0.999997 sw=0
[46/369] OK triads/2023_03_01_M7_M8_M6/C7c_cams5_sigma0 idf1=1.0 acc=1.0 sw=0
[47/369] OK triads/2023_03_15_M2_M3_M4/C7d_cams3_drop25 idf1=0.964475 acc=0.996605 sw=172
[48/369] OK triads/2023_03_15_M2_M3_M4/C7c_cams3_sigma0 idf1=1.0 acc=1.0 sw=0
[49/369] OK triads/2023_03_01_M7_M8_M6/C7d_cams6_drop25 idf1=0.999482 acc=0.999999 sw=0
[50/369] OK triads/2023_03_15_M2_M3_M4/C7c_cams4_sigma0 idf1=1.0 acc=1.0 sw=0
[51/369] OK triads/2023_03_15_M2_M3_M4/C7d_cams4_drop25 idf1=0.992164 acc=0.999996 sw=0
[52/369] OK bedding/2024_05_05_F1_F2/C7c_cams2_sigma0 idf1=1.0 acc=1.0 sw=0
[53/369] OK bedding/2024_05_05_F1_F2/C7d_cams2_drop25 idf1=0.85326 acc=0.996153 sw=447
[54/369] OK triads/2023_03_15_M2_M3_M4/C7c_cams5_sigma0 idf1=1.0 acc=1.0 sw=0
[55/369] OK triads/2023_03_15_M2_M3_M4/C7d_cams5_drop25 idf1=0.942062 acc=0.943957 sw=4
[56/369] OK bedding/2024_05_05_F1_F2/C7d_cams3_drop25 idf1=0.804872 acc=0.831886 sw=44
[57/369] OK bedding/2024_05_05_F1_F2/C7c_cams3_sigma0 idf1=1.0 acc=1.0 sw=0
[58/369] OK triads/2023_03_15_M2_M3_M4/C7d_cams6_drop25 idf1=0.999501 acc=0.999998 sw=0
[59/369] OK bedding/2024_05_05_F1_F2/C7d_cams4_drop25 idf1=0.619563 acc=0.624388 sw=50
[60/369] OK bedding/2024_05_05_F1_F2/C7c_cams4_sigma0 idf1=1.0 acc=1.0 sw=0
[61/369] OK bedding/2024_05_05_F5_F3/C7d_cams2_drop25 idf1=0.855629 acc=0.99878 sw=153
[62/369] OK bedding/2024_05_05_F5_F3/C7c_cams2_sigma0 idf1=1.0 acc=1.0 sw=0
[63/369] OK bedding/2024_05_05_F1_F2/C7c_cams5_sigma0 idf1=1.0 acc=1.0 sw=0
[64/369] OK bedding/2024_05_05_F1_F2/C7d_cams5_drop25 idf1=0.734067 acc=0.735546 sw=12
[65/369] OK bedding/2024_05_05_F1_F2/C7d_cams6_drop25 idf1=0.58626 acc=0.586555 sw=22
